,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,MINDTREE,2014-01-02,2015-01-01,0.05,389.2375,649.5,0.03343235171328559
1,AUROPHARMA,2014-01-02,2015-01-01,0.05,195.5,569.7,0.09570332480818416
2,HCLTECH,2014-01-02,2015-01-01,0.05,630.0,799.5,0.013452380952380952
3,TECHM,2014-01-02,2015-01-01,0.05,365.62,517.8,0.020811224768885722
4,RCOM,2014-01-02,2015-01-01,0.05,138.1,80.0,-0.021035481535119478
5,CYIENT,2014-01-02,2015-01-01,0.05,343.25,515.0,0.025018208302986164
6,BRITANNIA,2014-01-02,2015-01-01,0.05,456.5,919.275,0.05068729463307777
7,EICHERMOT,2014-01-02,2015-01-01,0.05,4983.05,15011.0,0.10062060384704147
8,TCS,2014-01-02,2015-01-01,0.05,1083.0,1283.5,0.009256694367497691
9,IDEA,2014-01-02,2015-01-01,0.05,169.0,154.0,-0.004437869822485207
10,BIOCON,2014-01-02,2015-01-01,0.05,78.60000000000001,70.70833333333333,-0.005020144189991527
11,INFY,2014-01-02,2015-01-01,0.05,432.90625,492.2375,0.006852667292283262
12,SUNPHARMA,2014-01-02,2015-01-01,0.05,572.1,826.5,0.02223387519664394
13,PAGEIND,2014-01-02,2015-01-01,0.05,5150.1,11681.0,0.06340556494048659
14,NIITTECH,2014-01-02,2015-01-01,0.05,371.5,368.05,-0.0004643337819650052
15,UPL,2014-01-02,2015-01-01,0.05,132.0,230.79999999999998,0.03742424242424242
16,M&MFIN,2014-01-02,2015-01-01,0.05,324.45,329.3,0.0007474187085837607
17,LUPIN,2014-01-02,2015-01-01,0.05,918.5,1428.4,0.02775721284703321
18,BERGEPAINT,2014-01-02,2015-01-01,0.05,81.14285714285714,143.58928571428572,0.0384793133802817
19,CESC,2014-01-02,2015-01-01,0.05,464.6,670.85,0.022196513129573825
20,TVSMOTOR,2015-01-02,2016-01-01,0.05,280.0,290.0,0.0017857142857142857
21,AUROPHARMA,2015-01-02,2016-01-01,0.05,562.5,879.9,0.028213333333333333
22,WABAG,2015-01-02,2016-01-01,0.05,740.6,692.0,-0.003281123413448557
23,EICHERMOT,2015-01-02,2016-01-01,0.05,15450.0,16879.0,0.004624595469255663
24,GPPL,2015-01-02,2016-01-01,0.05,199.0,142.1,-0.014296482412060305
25,PAGEIND,2015-01-02,2016-01-01,0.05,12351.0,13465.0,0.00450975629503684
26,NAVINFLUOR,2015-01-02,2016-01-01,0.05,128.8,374.40999999999997,0.09534549689440991
27,TORNTPHARM,2015-01-02,2016-01-01,0.05,1145.0,1459.9,0.013751091703056773
28,BEL,2015-01-02,2016-01-01,0.05,97.535,137.7,0.020590044599374583
29,AIAENG,2015-01-02,2016-01-01,0.05,1085.0,892.7,-0.008861751152073731
30,BHARATFORG,2015-01-02,2016-01-01,0.05,471.375,446.5,-0.0026385574118271016
31,STAR,2015-01-02,2016-01-01,0.05,961.7,1287.5,0.0169387542892794
32,AMARAJABAT,2015-01-02,2016-01-01,0.05,814.2,864.55,0.003091992139523453
33,KSCL,2015-01-02,2016-01-01,0.05,776.4,355.5,-0.027105873261205567
34,MOTHERSUMI,2015-01-02,2016-01-01,0.05,134.53333333333333,130.22222222222223,-0.0016022464486290027
35,CARERATING,2015-01-02,2016-01-01,0.05,1545.0,1330.0,-0.0069579288025889965
36,INFRATEL,2015-01-02,2016-01-01,0.05,335.6,428.0,0.01376638855780691
37,RCOM,2015-01-02,2016-01-01,0.05,83.15,88.4,0.003156945279615153
38,CADILAHC,2015-01-02,2016-01-01,0.05,323.18,325.0,0.00028157683024939556
39,CYIENT,2015-01-02,2016-01-01,0.05,511.15,479.95,-0.003051941700088036
40,APLLTD,2016-01-04,2017-01-02,0.05,686.0,595.0,-0.0066326530612244895
41,ASHOKLEY,2016-01-04,2017-01-02,0.05,90.75,80.5,-0.005647382920110193
42,AUROPHARMA,2016-01-04,2017-01-02,0.05,876.9,673.0,-0.011626183145170487
43,BAJAJFINSV,2016-01-04,2017-01-02,0.05,1984.0,2898.0,0.02303427419354839
44,BAJFINANCE,2016-01-04,2017-01-02,0.05,609.9,852.0,0.019847515986227256
45,HINDPETRO,2016-01-04,2017-01-02,0.05,187.53333333333333,295.96666666666664,0.028910415926057587
46,IBULHSGFIN,2016-01-04,2017-01-02,0.05,730.15,657.0,-0.005009244675751557
47,KSCL,2016-01-04,2017-01-02,0.05,355.0,416.5,0.008661971830985916
48,NATCOPHARM,2016-01-04,2017-01-02,0.05,574.0,584.0,0.0008710801393728223
49,NIITTECH,2016-01-04,2017-01-02,0.05,580.95,425.25,-0.013400464756003103
50,RAJESHEXPO,2016-01-04,2017-01-02,0.05,679.5,462.5,-0.015967623252391466
51,SPARC,2016-01-04,2017-01-02,0.05,338.0,305.0,-0.004881656804733728
52,VAKRANGEE,2016-01-04,2017-01-02,0.05,87.575,137.4,0.028447045389666005
53,WABAG,2016-01-04,2017-01-02,0.05,691.9,472.9,-0.01582598641422171
54,WOCKPHARMA,2016-01-04,2017-01-02,0.05,1599.5,660.95,-0.029338855892466396
55,WOCKPHARMA,2016-01-04,2017-01-02,0.05,1599.5,660.95,-0.029338855892466396
56,NAVINFLUOR,2016-01-04,2017-01-02,0.05,390.0,506.02,0.014874358974358973
57,RNAVAL,2016-01-04,2017-01-02,0.05,91.3,55.95,-0.019359255202628694
58,KAJARIACER,2016-01-04,2017-01-02,0.05,487.55,468.7,-0.0019331350630704567
59,BRITANNIA,2016-01-04,2017-01-02,0.05,1490.0,1450.55,-0.0013238255033557063
60,RNAVAL,2017-01-03,2018-01-02,0.05,55.3,70.0,0.013291139240506334
61,VEDL,2017-01-03,2018-01-02,0.05,222.7,328.0,0.023641670408621467
62,INDIANB,2017-01-03,2018-01-02,0.05,222.9,376.25,0.034398833557649174
63,HINDALCO,2017-01-03,2018-01-02,0.05,159.85,274.4,0.03583046606193306
64,BIOCON,2017-01-03,2018-01-02,0.05,158.58333333333334,270.2,0.035191802417235934
65,HINDZINC,2017-01-03,2018-01-02,0.05,260.7,311.45,0.009733410049865747
66,IGL,2017-01-03,2018-01-02,0.05,183.84,342.3,0.04309725848563969
67,MUTHOOTFIN,2017-01-03,2018-01-02,0.05,285.0,471.0,0.03263157894736842
68,COROMANDEL,2017-01-03,2018-01-02,0.05,303.35,557.9,0.041956485907367724
69,PEL,2017-01-03,2018-01-02,0.05,1600.0,2860.0,0.039375
70,VAKRANGEE,2017-01-03,2018-01-02,0.05,137.275,421.9,0.10366964123110545
71,JSWSTEEL,2017-01-03,2018-01-02,0.05,164.1,267.0,0.0313528336380256
72,TATASTEEL,2017-01-03,2018-01-02,0.05,407.05,724.0,0.03893256356712935
73,HINDPETRO,2017-01-03,2018-01-02,0.05,300.0,415.0,0.019166666666666665
74,YESBANK,2017-01-03,2018-01-02,0.05,229.0,313.4,0.01842794759825327
75,CHOLAFIN,2017-01-03,2018-01-02,0.05,191.94,263.15999999999997,0.018552672710221936
76,IOC,2017-01-03,2018-01-02,0.05,163.6,195.7,0.00981051344743276
77,AIAENG,2017-01-03,2018-01-02,0.05,1315.8,1546.0,0.008747530019759845
78,BAJAJFINSV,2017-01-03,2018-01-02,0.05,2950.0,5199.9,0.03813389830508474
79,UPL,2017-01-03,2018-01-02,0.05,440.3333333333333,505.0333333333333,0.007346707040121119
80,BALKRISIND,2018-01-03,2019-01-02,0.05,1174.05,928.0,-0.010478684894169754
81,BIOCON,2018-01-03,2019-01-02,0.05,270.5,312.4,0.0077449168207023985
82,CROMPTON,2018-01-03,2019-01-02,0.05,278.0,236.0,-0.007553956834532374
83,DHFL,2018-01-03,2019-01-02,0.05,586.0,245.2,-0.029078498293515363
84,EDELWEISS,2018-01-03,2019-01-02,0.05,286.05,182.1,-0.018169900367068698
85,ENDURANCE,2018-01-03,2019-01-02,0.05,1384.0,1245.0,-0.005021676300578035
86,GRUH,2018-01-03,2019-01-02,0.05,248.0,320.65,0.014647177419354835
87,JINDALSTEL,2018-01-03,2019-01-02,0.05,204.55,160.0,-0.01088975800537766
88,JUBLFOOD,2018-01-03,2019-01-02,0.05,900.5,1244.0,0.01907273736812882
89,PCJEWELLER,2018-01-03,2019-01-02,0.05,468.65,85.75,-0.040851381628080656
90,PEL,2018-01-03,2019-01-02,0.05,2866.0,2386.0,-0.00837404047452896
91,PRESTIGE,2018-01-03,2019-01-02,0.05,323.45,238.6,-0.01311640129850054
92,RAJESHEXPO,2018-01-03,2019-01-02,0.05,819.55,571.95,-0.015105850771764988
93,TATACONSUM,2018-01-03,2019-01-02,0.05,311.9,219.0,-0.014892593780057709
94,TITAN,2018-01-03,2019-01-02,0.05,863.9,923.3,0.0034378979048500973
95,TVSMOTOR,2018-01-03,2019-01-02,0.05,783.95,564.4,-0.01400280630142229
96,VAKRANGEE,2018-01-03,2019-01-02,0.05,418.1,35.4,-0.045766563023200195
97,IGL,2018-01-03,2019-01-02,0.05,334.9,271.6,-0.009450582263362192
98,IGL,2018-01-03,2019-01-02,0.05,334.9,271.6,-0.009450582263362192
99,UNITDSPR,2018-01-03,2019-01-02,0.05,726.0,619.9,-0.007307162534435264
100,NIITTECH,2019-01-03,2020-01-02,0.05,1153.0,1581.75,0.0185928013876843
101,DHANI,2019-01-03,2020-01-02,0.05,402.0,210.4,-0.02383084577114428
102,HEG,2019-01-03,2020-01-02,0.05,3670.0,1069.0,-0.03543596730245232
103,LTI,2019-01-03,2020-01-02,0.05,1733.55,1786.9,0.0015387499639468185
104,BAJFINANCE,2019-01-03,2020-01-02,0.05,2612.0,4240.0,0.031163859111791734
105,MINDTREE,2019-01-03,2020-01-02,0.05,861.15,815.5,-0.0026505254601405085
106,BATAINDIA,2019-01-03,2020-01-02,0.05,1112.0,1748.0,0.028597122302158273
107,TCS,2019-01-03,2020-01-02,0.05,1919.0,2179.95,0.0067991141219385055
108,IGL,2019-01-03,2020-01-02,0.05,275.25,426.3,0.027438692098092646
109,JUBLFOOD,2019-01-03,2020-01-02,0.05,1241.0,1665.0,0.017082997582594683
110,TECHM,2019-01-03,2020-01-02,0.05,715.05,762.1,0.0032899797216977885
111,MPHASIS,2019-01-03,2020-01-02,0.05,989.0,923.8,-0.0032962588473205282
112,DIVISLAB,2019-01-03,2020-01-02,0.05,1479.6,1820.5,0.011520005406866724
113,DMART,2019-01-03,2020-01-02,0.05,1567.6,1831.0,0.008401377902526158
114,UBL,2019-01-03,2020-01-02,0.05,1352.0,1275.0,-0.0028476331360946746
115,BRITANNIA,2019-01-03,2020-01-02,0.05,3116.85,3047.0,-0.0011205223222163388
116,HINDUNILVR,2019-01-03,2020-01-02,0.05,1782.6,1940.0,0.004414899584876027
117,SANOFI,2019-01-03,2020-01-02,0.05,6235.0,7014.0,0.006246992782678429
118,INFY,2019-01-03,2020-01-02,0.05,672.0,738.9,0.0049776785714285695
