,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,AJANTPHARM,2013-04-02,2013-05-02,0.04,173.06666666666666,208.05333333333334,0.008086286594761174
1,APLLTD,2013-04-02,2013-05-02,0.04,109.75,114.9,0.0018769931662870182
2,LAOPALA,2013-04-02,2013-05-02,0.04,336.0,331.8,-0.0004999999999999986
3,BSLIMITED,2013-04-02,2013-05-02,0.04,331.0,314.1,-0.00204229607250755
4,SYMPHONY,2013-04-02,2013-05-02,0.04,184.0,185.0,0.0002173913043478261
5,GEOMETRIC,2013-04-02,2013-05-02,0.04,104.2,89.95,-0.005470249520153551
6,ESSDEE,2013-04-02,2013-05-02,0.04,333.0,512.0,0.021501501501501503
7,HEXAWARE,2013-04-02,2013-05-02,0.04,87.0,81.4,-0.0025747126436781584
8,POLYMED,2013-04-02,2013-05-02,0.04,460.0,460.15,1.3043478260867587e-05
9,WIPRO,2013-04-02,2013-05-02,0.04,162.0300751879699,130.82706766917292,-0.007703016241299304
10,KAVVERITEL,2013-04-02,2013-05-02,0.04,74.1,31.5,-0.022995951417004046
11,SOLARINDS,2013-04-02,2013-05-02,0.04,205.0,200.8,-0.000819512195121949
12,DBCORP,2013-04-02,2013-05-02,0.04,235.05,243.0,0.0013529036375239292
13,NATCOPHARM,2013-04-02,2013-05-02,0.04,89.4,87.61,-0.0008008948545861325
14,VADILALIND,2013-04-02,2013-05-02,0.04,182.0,178.25,-0.0008241758241758242
15,SHALPAINTS,2013-04-02,2013-05-02,0.04,115.7,115.8,3.4572169403628116e-05
16,PCJEWELLER,2013-04-02,2013-05-02,0.04,61.525,54.4,-0.004632263307598538
17,KSCL,2013-04-02,2013-05-02,0.04,243.2,236.0,-0.0011842105263157876
18,TATASTLBSL,2013-04-02,2013-05-02,0.04,453.05,459.85,0.000600375234521577
19,KOLTEPATIL,2013-04-02,2013-05-02,0.04,94.4,102.9,0.0036016949152542373
20,MFSL,2013-04-02,2013-05-02,0.04,223.0,220.0,-0.0005381165919282511
21,CAIRN,2013-04-02,2013-05-02,0.04,286.0,310.4,0.0034125874125874095
22,SGJHL,2013-04-02,2013-05-02,0.04,102.4,101.15,-0.00048828125
23,NESTLEIND,2013-04-02,2013-05-02,0.04,4581.0,4969.6,0.003393145601397078
24,BAYERCROP,2013-04-02,2013-05-02,0.04,1168.25,1150.0,-0.0006248662529424353
25,ESSDEE,2013-05-03,2013-06-03,0.04,562.1,591.8,0.002113502935420739
26,LAOPALA,2013-05-03,2013-06-03,0.04,329.95,322.0,-0.0009637823912714035
27,APLLTD,2013-05-03,2013-06-03,0.04,117.95,133.0,0.005103857566765577
28,SHRENUJ,2013-05-03,2013-06-03,0.04,93.05,107.0,0.005996775926921012
29,ZYLOG,2013-05-03,2013-06-03,0.04,49.25,45.0,-0.003451776649746193
30,AJANTPHARM,2013-05-03,2013-06-03,0.04,210.4,253.38666666666668,0.008172370088719901
31,RSWM,2013-05-03,2013-06-03,0.04,134.8,126.1,-0.0025816023738872455
32,BSLIMITED,2013-05-03,2013-06-03,0.04,316.75,305.0,-0.001483820047355959
33,JYOTHYLAB,2013-05-03,2013-06-03,0.04,89.0,102.375,0.00601123595505618
34,RAJTV,2013-05-03,2013-06-03,0.04,247.7,316.55,0.011118288251917647
35,PIIND,2013-05-03,2013-06-03,0.04,128.25,126.95,-0.0004054580896686151
36,INFINITE,2013-05-03,2013-06-03,0.04,116.0,92.4,-0.008137931034482758
37,SPECIALITY,2013-05-03,2013-06-03,0.04,187.3,172.5,-0.003160704751735186
38,HEXAWARE,2013-05-03,2013-06-03,0.04,83.1,80.0,-0.0014921780986762911
39,NESTLEIND,2013-05-03,2013-06-03,0.04,4870.0,5225.0,0.002915811088295688
40,TATAMTRDVR,2013-05-03,2013-06-03,0.04,170.5,171.6,0.00025806451612903097
41,BAJAJCORP,2013-05-03,2013-06-03,0.04,251.0,273.1,0.0035219123505976133
42,TATASTLBSL,2013-05-03,2013-06-03,0.04,458.75,463.95,0.00045340599455040773
43,INSECTICID,2013-05-03,2013-06-03,0.04,437.95,396.0,-0.0038314876127411796
44,VTL,2013-05-03,2013-06-03,0.04,270.0,265.0,-0.0007407407407407408
45,NAHARSPING,2013-05-03,2013-06-03,0.04,77.15,74.0,-0.001633182112767339
46,ESSDEE,2013-06-04,2013-07-03,0.04,586.05,532.0,-0.003689105025168498
47,SHRENUJ,2013-06-04,2013-07-03,0.04,110.35,106.95,-0.0012324422292704998
48,APLLTD,2013-06-04,2013-07-03,0.04,136.0,138.5,0.0007352941176470588
49,AJANTPHARM,2013-06-04,2013-07-03,0.04,253.33333333333334,248.0,-0.0008421052631578962
50,NDTV,2013-06-04,2013-07-03,0.04,91.5,90.15,-0.000590163934426227
51,GREENPLY,2013-06-04,2013-07-03,0.04,64.70666666666668,60.36666666666666,-0.0026828765711930866
52,ASTRAL,2013-06-04,2013-07-03,0.04,105.6,113.0,0.002803030303030305
53,JYOTHYLAB,2013-06-04,2013-07-03,0.04,104.5,89.0,-0.005933014354066985
54,BAYERCROP,2013-06-04,2013-07-03,0.04,1419.05,1464.9,0.0012924139389027909
55,VADILALIND,2013-06-04,2013-07-03,0.04,206.75,155.5,-0.009915356711003626
56,CERA,2013-06-04,2013-07-03,0.04,516.05,497.0,-0.00147660110454413
57,BAJAJCORP,2013-06-04,2013-07-03,0.04,272.75,247.0,-0.003776351970669111
58,RATNAMANI,2013-06-04,2013-07-03,0.04,150.0,146.85,-0.0008400000000000014
59,SHILPAMED,2013-06-04,2013-07-03,0.04,285.0,267.0,-0.0025263157894736842
60,CEATLTD,2013-06-04,2013-07-03,0.04,111.9,104.75,-0.002555853440571941
61,KSCL,2013-06-04,2013-07-03,0.04,301.8,326.01,0.003208747514910534
62,SPECIALITY,2013-06-04,2013-07-03,0.04,176.95,156.6,-0.004600169539417914
63,NESTLEIND,2013-06-04,2013-07-03,0.04,5233.0,5170.0,-0.00048155933498948976
64,TVTODAY,2013-06-04,2013-07-03,0.04,74.05,71.8,-0.0012153950033760973
65,ABBOTINDIA,2013-06-04,2013-07-03,0.04,1470.0,1445.15,-0.0006761904761904737
66,GEOMETRIC,2013-06-04,2013-07-03,0.04,107.0,103.05,-0.0014766355140186926
67,PCJEWELLER,2013-06-04,2013-07-03,0.04,58.225,45.5,-0.008741949334478319
68,DBCORP,2013-06-04,2013-07-03,0.04,254.0,233.8,-0.0031811023622047227
69,NATCOPHARM,2013-06-04,2013-07-03,0.04,88.78999999999999,91.21000000000001,0.0010902128618087694
70,SHRENUJ,2013-07-03,2013-08-01,0.04,106.95,110.0,0.0011407199625993443
71,MAHINDCIE,2013-07-03,2013-08-01,0.04,59.55,62.8,0.0021830394626364403
72,NDTV,2013-07-03,2013-08-01,0.04,90.15,85.0,-0.002285080421519692
73,ESSDEE,2013-07-03,2013-08-01,0.04,532.0,489.0,-0.003233082706766917
74,REPCOHOME,2013-07-03,2013-08-01,0.04,249.0,258.7,0.0015582329317269058
75,IPAPPM,2013-07-03,2013-08-01,0.04,269.0,252.0,-0.0025278810408921933
76,KSCL,2013-07-03,2013-08-01,0.04,326.01,295.0,-0.0038047912640716535
77,BAYERCROP,2013-07-03,2013-08-01,0.04,1464.9,1483.0,0.0004942316881698384
78,AJANTPHARM,2013-07-03,2013-08-01,0.04,248.0,250.66666666666666,0.0004301075268817189
79,APLLTD,2013-07-03,2013-08-01,0.04,138.5,155.05,0.0047797833935018085
80,WHEELS,2013-07-03,2013-08-01,0.04,402.9,352.525,-0.005001241002730207
81,MAGMA,2013-07-03,2013-08-01,0.04,95.9,83.35,-0.005234619395203341
82,JYOTHYLAB,2013-07-03,2013-08-01,0.04,89.0,81.125,-0.0035393258426966293
83,NESTLEIND,2013-07-03,2013-08-01,0.04,5170.0,5280.0,0.0008510638297872341
84,GLOBUSSPR,2013-07-03,2013-08-01,0.04,102.1,75.0,-0.010617042115572966
85,BAJAJCORP,2013-07-03,2013-08-01,0.04,247.0,241.0,-0.00097165991902834
86,DBSTOCKBRO,2013-07-03,2013-08-01,0.04,98.05,95.6,-0.000999490056093831
87,GICHSGFIN,2013-07-03,2013-08-01,0.04,111.0,93.25,-0.006396396396396396
88,INDOCO,2013-07-03,2013-08-01,0.04,62.1,61.0,-0.0007085346215781008
89,CAIRN,2013-07-03,2013-08-01,0.04,292.0,305.0,0.0017808219178082193
90,JKLAKSHMI,2013-07-03,2013-08-01,0.04,97.0,59.95,-0.015278350515463918
91,TATASTLBSL,2013-07-03,2013-08-01,0.04,461.3,456.05,-0.00045523520485584216
92,NATCOPHARM,2013-07-03,2013-08-01,0.04,91.21000000000001,123.6,0.014204582830829945
93,VTL,2013-07-03,2013-08-01,0.04,269.45,288.4,0.002813137873445907
94,HEXAWARE,2013-07-03,2013-08-01,0.04,87.05,118.0,0.01422171165996554
95,MAHINDCIE,2013-08-02,2013-09-02,0.04,62.5,64.1,0.0010239999999999965
96,REPCOHOME,2013-08-02,2013-09-02,0.04,254.0,231.0,-0.0036220472440944883
97,KALINDEE,2013-08-02,2013-09-02,0.04,70.9,65.5,-0.0030465444287729225
98,HEXAWARE,2013-08-02,2013-09-02,0.04,114.75,127.55,0.0044618736383442254
99,LAOPALA,2013-08-02,2013-09-02,0.04,415.0,413.0,-0.0001927710843373494
100,NATCOPHARM,2013-08-02,2013-09-02,0.04,118.03,117.75999999999999,-9.150216046768118e-05
101,APLLTD,2013-08-02,2013-09-02,0.04,150.9,135.7,-0.004029158383035127
102,KSCL,2013-08-02,2013-09-02,0.04,300.0,293.0,-0.0009333333333333334
103,SHRENUJ,2013-08-02,2013-09-02,0.04,106.0,102.5,-0.0013207547169811322
104,AJANTPHARM,2013-08-02,2013-09-02,0.04,241.6,204.0,-0.006225165562913907
105,BAYERCROP,2013-08-02,2013-09-02,0.04,1425.05,1570.0,0.0040686291709062855
106,NDTV,2013-08-02,2013-09-02,0.04,81.5,82.7,0.0005889570552147253
107,WIPRO,2013-08-02,2013-09-02,0.04,164.00375939849624,181.59774436090225,0.004291117478510028
