,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,ESSDEE,2013-07-02,2014-03-28,0.04,532.85,686.0,0.011496668856150884
1,LAOPALA,2013-07-02,2014-03-28,0.04,372.9,701.15,0.03521051220166265
2,BSLIMITED,2013-07-02,2014-03-28,0.04,289.5,12.5,-0.038272884283246975
3,KSCL,2013-07-02,2014-03-28,0.04,326.0,609.65,0.03480368098159509
4,BAYERCROP,2013-07-02,2014-03-28,0.04,1434.0,1445.0,0.00030683403068340305
5,NESTLEIND,2013-07-02,2014-03-28,0.04,512.69,490.0,-0.0017702705338508691
6,FIEMIND,2013-07-02,2014-03-28,0.04,95.25,201.13,0.04446404199475065
7,HEXAWARE,2013-07-02,2014-03-28,0.04,87.7,148.45,0.027708095781071827
8,ANDHRAPAP,2013-07-02,2014-03-28,0.04,273.35,233.2,-0.0058752515090543305
9,CEATLTD,2013-07-02,2014-03-28,0.04,105.1,439.9,0.12742150333016172
10,WHEELS,2013-07-02,2014-03-28,0.04,407.5,272.525,-0.01324907975460123
11,SOLARINDS,2013-07-02,2014-03-28,0.04,188.59,170.99,-0.00373296569277268
12,NATCOPHARM,2013-07-02,2014-03-28,0.04,90.61,155.8,0.028778280542986433
13,TATASTLBSL,2013-07-02,2014-03-28,0.04,462.95,449.0,-0.0012053137487849652
14,SANDESH,2013-07-02,2014-03-28,0.04,270.0,270.0,0.0
15,CAIRN,2013-07-02,2014-03-28,0.04,292.1,334.2,0.0057651489216021855
16,RANEHOLDIN,2013-07-02,2014-03-28,0.04,182.9,187.8,0.0010716238381629317
17,HGS,2013-07-02,2014-03-28,0.04,136.5,264.875,0.037619047619047614
18,TVTODAY,2013-07-02,2014-03-28,0.04,75.5,114.9,0.020874172185430466
19,SETFGOLD,2013-07-02,2014-03-28,0.04,2588.95,2750.0,0.002488267444330716
20,GICHSGFIN,2013-07-02,2014-03-28,0.04,112.0,104.4,-0.002714285714285712
21,TATAMTRDVR,2013-07-02,2014-03-28,0.04,142.95,194.9,0.014536551241692905
22,VADILALIND,2013-07-02,2014-03-28,0.04,160.0,146.2,-0.003450000000000003
23,INFINITE,2013-07-02,2014-03-28,0.04,88.15,137.05,0.022189449801474758
24,CEATLTD,2014-04-01,2014-12-26,0.04,440.2,845.1,0.03679236710586098
25,EXPLEOSOL,2014-04-01,2014-12-26,0.04,325.9,654.2,0.04029456888616141
26,SHILPAMED,2014-04-01,2014-12-26,0.04,416.9,622.0,0.01967857999520269
27,SYMPHONY,2014-04-01,2014-12-26,0.04,367.75,934.0,0.061590754588715164
28,ASTRAL,2014-04-01,2014-12-26,0.04,176.69172932330827,293.98496240601503,0.0265531914893617
29,NILKAMAL,2014-04-01,2014-12-26,0.04,199.0,465.0,0.05346733668341709
30,APLLTD,2014-04-01,2014-12-26,0.04,287.5,424.3,0.01903304347826087
31,FIEMIND,2014-04-01,2014-12-26,0.04,203.5,411.05,0.040796068796068806
32,JUBLPHARMA,2014-04-01,2014-12-26,0.04,160.4,124.3,-0.009002493765586038
33,TVSHLTD,2014-04-01,2014-12-26,0.04,572.0,1600.95,0.07195454545454545
34,RATNAMANI,2014-04-01,2014-12-26,0.04,166.6,433.333333333333,0.06404161664665858
35,SELAN,2014-04-01,2014-12-26,0.04,523.95,354.2,-0.012959251837007352
36,GMBREW,2014-04-01,2014-12-26,0.04,159.8,90.0,-0.01747183979974969
