,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,AJANTPHARM,2013-07-02,2014-03-28,0.26315789473684204,241.72000000000003,401.6,0.17405959047876177
1,ESSDEE,2013-07-02,2014-03-28,0.23157894736842102,532.85,686.0,0.06655966179876827
2,LAOPALA,2013-07-02,2014-03-28,0.19999999999999998,372.9,701.15,0.1760525610083132
3,BSLIMITED,2013-07-02,2014-03-28,0.16842105263157892,289.5,12.5,-0.16114898645577672
4,KSCL,2013-07-02,2014-03-28,0.13684210526315788,326.0,609.65,0.11906522441072002
5,CEATLTD,2014-04-01,2014-12-26,0.26315789473684204,440.2,845.1,0.24205504674908532
6,VINATIORGA,2014-04-01,2014-12-26,0.23157894736842102,276.0,435.0,0.13340961098398169
7,SQSBFSI,2014-04-01,2014-12-26,0.19999999999999998,325.9,654.2,0.20147284443080704
8,SHILPAMED,2014-04-01,2014-12-26,0.16842105263157892,416.9,622.0,0.08285717892716919
9,SYMPHONY,2014-04-01,2014-12-26,0.13684210526315788,367.75,934.0,0.2107052130666571
10,IFBIND,2014-12-26,2015-09-21,0.26315789473684204,465.1,449.1,-0.00905294843214249
11,JCHAC,2014-12-26,2015-09-21,0.23157894736842102,827.0,1326.0,0.13973143257175585
12,AMRUTANJAN,2014-12-26,2015-09-21,0.16842105263157892,442.75,410.0,-0.012458022526672411
13,SUVEN,2014-12-26,2015-09-21,0.13684210526315788,214.4,246.6,0.02055184603299292
14,JUBLINDS,2015-09-22,2016-06-17,0.26315789473684204,291.25,163.5,-0.11542805511633157
15,SANGAMIND,2015-09-22,2016-06-17,0.23157894736842102,265.0,271.15,0.005374379344587865
16,GAYAPROJ,2015-09-22,2016-06-17,0.19999999999999998,497.6,626.95,0.051989549839228294
17,GMBREW,2015-09-22,2016-06-17,0.16842105263157892,375.0,619.0,0.10958596491228068
18,SAREGAMA,2015-09-22,2016-06-17,0.13684210526315788,365.0,297.35,-0.02536265320836336
19,KIRIINDUS,2016-06-21,2017-03-17,0.26315789473684204,373.0,288.3,-0.05975730210244106
20,TATAMETALI,2016-06-21,2017-03-17,0.23157894736842102,336.3,512.4,0.12126390910371375
21,KAKATCEM,2016-06-21,2017-03-17,0.19999999999999998,415.0,327.8,-0.042024096385542165
22,JAYAGROGN,2016-06-21,2017-03-17,0.16842105263157892,257.7,330.0,0.04725200661724159
23,BANARISUG,2016-06-21,2017-03-17,0.13684210526315788,2030.0,2001.05,-0.0019515167228415895
24,IMFA,2017-03-16,2017-12-11,0.26315789473684204,651.95,614.0,-0.015318417217981694
25,AGARIND,2017-03-16,2017-12-11,0.23157894736842102,564.3,648.0,0.034349030470914144
26,V2RETAIL,2017-03-16,2017-12-11,0.19999999999999998,199.65,525.0,0.3259203606311044
27,DHAMPURSUG,2017-03-16,2017-12-11,0.16842105263157892,226.5,279.55,0.039446961775299175
28,IGPL,2017-03-16,2017-12-11,0.13684210526315788,367.5,772.45,0.15078696741854636
29,HEG,2017-12-12,2018-09-07,0.26315789473684204,1914.0,4149.8,0.30740251883627556
30,GRAPHITE,2017-12-12,2018-09-07,0.23157894736842102,638.85,1019.9,0.1381281331998698
31,GOACARBON,2017-12-12,2018-09-07,0.19999999999999998,823.0,750.0,-0.017739975698663427
32,MOHOTAMILL,2017-12-12,2018-09-07,0.16842105263157892,410.0,95.25,-0.12929396662387674
33,SAREGAMA,2017-12-12,2018-09-07,0.13684210526315788,832.0,585.0,-0.040624999999999994
34,SORILINFRA,2018-09-11,2019-06-07,0.26315789473684204,847.8,263.3,-0.1814293341279596
35,SORILHOLD,2018-09-11,2019-06-07,0.23157894736842102,774.95,269.0,-0.15119345560494563
36,ALBERTDAVD,2018-09-11,2019-06-07,0.19999999999999998,756.95,426.0,-0.08744302794107932
37,NELCO,2018-09-11,2019-06-07,0.16842105263157892,333.65,294.05,-0.019989431093093122
38,EXCELINDUS,2018-09-11,2019-06-07,0.13684210526315788,1751.95,1073.8,-0.05296924780057109
39,MAHASTEEL,2019-06-07,2020-03-02,0.26315789473684204,205.95,104.4,-0.12975811706980483
40,SEAMECLTD,2019-06-07,2020-03-02,0.23157894736842102,453.85,384.0,-0.03564126798211791
41,JMCPROJECT,2019-06-07,2020-03-02,0.19999999999999998,136.35,74.75,-0.09035570223689035
42,HESTERBIO,2019-06-07,2020-03-02,0.16842105263157892,1840.95,1530.0,-0.028447554966614774
43,SATIN,2019-06-07,2020-03-02,0.13684210526315788,314.45,183.0,-0.05720430827426332
44,AGCNET,2020-03-03,2020-11-27,0.26315789473684204,415.0,598.0,0.11604311984781228
45,ORISSAMINE,2020-03-03,2020-11-27,0.23157894736842102,1778.0,2500.0,0.09403824521934757
46,ARMANFIN,2020-03-03,2020-11-27,0.19999999999999998,964.95,639.65,-0.06742318254831857
47,ALKYLAMINE,2020-03-03,2020-11-27,0.16842105263157892,1530.0,3698.0,0.23865153078775367
48,GMMPFAUDLR,2020-03-03,2020-11-27,0.13684210526315788,3015.0,3692.0,0.03072706642227459
