,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,SUNPHARMA,2013-02-20,2013-05-20,0.04,397.5,487.35,0.009041509433962267
1,MINDTREE,2013-02-20,2013-05-20,0.04,206.2375,208.225,0.00038547790775198166
2,TCS,2013-02-20,2013-05-20,0.04,720.75,735.625,0.0008255289628858827
3,EMAMILTD,2013-02-20,2013-05-20,0.04,211.3166666666667,231.0,0.0037258458868995926
4,CONCOR,2013-02-20,2013-05-20,0.04,338.46666666666664,389.6666666666667,0.006050817411857402
5,PIDILITIND,2013-02-20,2013-05-20,0.04,256.3,283.65,0.004268435427233705
6,INFY,2013-02-20,2013-05-20,0.04,353.15625,293.25,-0.006785240244226175
7,SHRIRAMCIT,2013-02-20,2013-05-20,0.04,1160.0,1080.0,-0.0027586206896551726
8,MCLEODRUSS,2013-02-20,2013-05-20,0.04,376.3,315.9,-0.0064204092479404765
9,OIL,2013-02-20,2013-05-20,0.04,275.8897243107769,294.23558897243106,0.002659883720930237
10,TECHM,2013-02-20,2013-05-20,0.04,207.78000000000003,186.34,-0.00412744248724613
11,HCLTECH,2013-02-20,2013-05-20,0.04,351.0,361.05,0.0011452991452991466
12,PEL,2013-02-20,2013-05-20,0.04,569.85,575.25,0.00037904711766254115
13,ONGC,2013-02-20,2013-05-20,0.04,222.4,228.0,0.0010071942446043156
14,ADANIPORTS,2013-02-20,2013-05-20,0.04,153.05,169.7,0.004351519111401497
15,INDUSINDBK,2013-02-20,2013-05-20,0.04,444.5,513.0,0.006164229471316086
16,GODREJCP,2013-02-20,2013-05-20,0.04,250.33333333333334,291.6666666666667,0.006604527296937418
17,BRITANNIA,2013-02-20,2013-05-20,0.04,250.0,286.525,0.005843999999999997
18,RAMCOCEM,2013-02-20,2013-05-20,0.04,245.9,246.55,0.00010573403822692244
19,ITC,2013-02-20,2013-05-20,0.04,201.96666666666667,223.33333333333334,0.004231721406172637
20,DLF,2013-02-20,2013-05-20,0.04,272.0,251.0,-0.003088235294117647
21,ASIANPAINT,2013-02-20,2013-05-20,0.04,457.98999999999995,484.895,0.002349832965785282
22,HDFCBANK,2013-02-20,2013-05-20,0.04,338.75,359.75,0.0024797047970479703
23,KOTAKBANK,2013-02-20,2013-05-20,0.04,338.25,397.25,0.006977087952697709
24,APOLLOTYRE,2013-02-20,2013-05-20,0.04,89.4,92.0,0.0011633109619686775
25,EMAMILTD,2013-05-23,2013-08-20,0.04,251.21666666666667,212.3,-0.0061965103164598944
26,EICHERMOT,2013-05-23,2013-08-20,0.04,3452.0,3040.05,-0.004773464658169175
27,MRF,2013-05-23,2013-08-20,0.04,15345.0,13000.0,-0.006112740306288693
28,HINDALCO,2013-05-23,2013-08-20,0.04,110.0,93.0,-0.006181818181818182
29,ABB,2013-05-23,2013-08-20,0.04,645.0,465.55,-0.011128682170542636
30,UNITDSPR,2013-05-23,2013-08-20,0.04,495.59,435.0,-0.004890332734720231
31,HINDUNILVR,2013-05-23,2013-08-20,0.04,584.25,585.0,5.1347881899871626e-05
32,UPL,2013-05-23,2013-08-20,0.04,103.36666666666667,98.83333333333333,-0.001754272815220901
33,LICHSGFIN,2013-05-23,2013-08-20,0.04,274.0,157.2,-0.017051094890510952
34,MINDTREE,2013-05-23,2013-08-20,0.04,205.0,246.0,0.008
35,MPHASIS,2013-05-23,2013-08-20,0.04,451.95,375.5,-0.006766235203009182
36,BOSCHLTD,2013-05-23,2013-08-20,0.04,9245.0,8246.1,-0.004321903731746889
37,GLENMARK,2013-05-23,2013-08-20,0.04,565.5,533.25,-0.0022811671087533156
38,CESC,2013-05-23,2013-08-20,0.04,320.0,277.5,-0.0053124999999999995
39,RALLIS,2013-05-23,2013-08-20,0.04,141.25,136.2,-0.0014300884955752245
40,INFY,2013-05-23,2013-08-20,0.04,297.0,377.5,0.010841750841750842
41,GSKCONS,2013-05-23,2013-08-20,0.04,4980.0,3935.0,-0.008393574297188755
42,SUNPHARMA,2013-05-23,2013-08-20,0.04,490.0,514.0,0.0019591836734693877
43,SHREECEM,2013-05-23,2013-08-20,0.04,4916.0,3760.2,-0.00940439381611066
44,SHRIRAMCIT,2013-05-23,2013-08-20,0.04,1127.65,899.75,-0.008084068638318629
45,KOTAKBANK,2013-05-23,2013-08-20,0.04,381.5,303.175,-0.00821231979030144
46,M&M,2013-05-23,2013-08-20,0.04,487.75,399.0,-0.007278318810866223
47,OIL,2013-05-23,2013-08-20,0.04,295.43859649122805,227.81954887218043,-0.009155072955548016
48,RCOM,2013-05-23,2013-08-20,0.04,109.4,119.0,0.003510054844606945
49,BHEL,2013-05-23,2013-08-20,0.04,134.33333333333334,68.16666666666667,-0.019702233250620347
50,BAJAJHLDNG,2013-08-22,2013-11-19,0.04,825.0,879.05,0.0026206060606060585
51,BHEL,2013-08-22,2013-11-19,0.04,69.26666666666667,93.06666666666666,0.013743984600577477
52,GSKCONS,2013-08-22,2013-11-19,0.04,4050.0,4556.8,0.005005432098765434
53,HEROMOTOCO,2013-08-22,2013-11-19,0.04,1850.0,2050.0,0.004324324324324324
54,IBREALEST,2013-08-22,2013-11-19,0.04,57.0,70.5,0.009473684210526316
55,IRB,2013-08-22,2013-11-19,0.04,66.95,90.95,0.014339058999253173
56,ITC,2013-08-22,2013-11-19,0.04,200.66666666666666,217.9333333333333,0.0034418604651162764
57,JINDALSTEL,2013-08-22,2013-11-19,0.04,220.0,245.1,0.004563636363636363
58,L&TFH,2013-08-22,2013-11-19,0.04,54.6,78.3,0.017362637362637358
59,MCLEODRUSS,2013-08-22,2013-11-19,0.04,251.0,276.0,0.00398406374501992
60,MINDTREE,2013-08-22,2013-11-19,0.04,249.25,350.425,0.016236710130391175
61,MINDTREE,2013-08-22,2013-11-19,0.04,249.25,350.425,0.016236710130391175
62,NMDC,2013-08-22,2013-11-19,0.04,109.5,131.55,0.008054794520547949
63,OIL,2013-08-22,2013-11-19,0.04,218.04511278195488,231.07769423558898,0.0023908045977011514
64,PEL,2013-08-22,2013-11-19,0.04,589.0,553.0,-0.0024448217317487265
65,RPOWER,2013-08-22,2013-11-19,0.04,66.0,72.3,0.0038181818181818165
66,SHRIRAMCIT,2013-08-22,2013-11-19,0.04,890.05,1070.0,0.008087186113139714
67,SYNDIBANK,2013-08-22,2013-11-19,0.04,63.15,87.3,0.015296912114014252
68,TATASTEEL,2013-08-22,2013-11-19,0.04,248.0,388.1,0.022596774193548393
69,TECHM,2013-08-22,2013-11-19,0.04,247.8,347.0,0.01601291364003228
70,UCOBANK,2013-08-22,2013-11-19,0.04,52.0,78.45,0.020346153846153847
71,KARURVYSYA,2013-08-22,2013-11-19,0.04,63.4,66.03,0.0016593059936908534
72,INFY,2013-08-22,2013-11-19,0.04,373.625,425.75,0.00558046169287387
73,INFY,2013-08-22,2013-11-19,0.04,373.625,425.75,0.00558046169287387
74,YESBANK,2013-08-22,2013-11-19,0.04,50.12,72.72999999999999,0.018044692737430163
75,STAR,2013-11-22,2014-02-19,0.04,410.74468085106383,355.7,-0.005360476560476561
76,EICHERMOT,2013-11-22,2014-02-19,0.04,4220.0,4925.0,0.006682464454976303
77,TATASTEEL,2013-11-22,2014-02-19,0.04,383.9,379.85,-0.0004219848918989273
78,BAJAJHLDNG,2013-11-22,2014-02-19,0.04,873.35,944.5,0.003258716436709222
79,TATACHEM,2013-11-22,2014-02-19,0.04,280.15,269.6,-0.0015063358914866973
80,BATAINDIA,2013-11-22,2014-02-19,0.04,511.5,512.975,0.00011534701857282681
81,NIITTECH,2013-11-22,2014-02-19,0.04,313.0,426.15,0.014460063897763574
82,CYIENT,2013-11-22,2014-02-19,0.04,276.15,352.0,0.010986782545717912
83,MRF,2013-11-22,2014-02-19,0.04,17034.0,18732.0,0.0039873194786896795
84,PAGEIND,2013-11-22,2014-02-19,0.04,4970.0,5552.05,0.004684507042253523
85,AMARAJABAT,2013-11-22,2014-02-19,0.04,339.0,372.0,0.0038938053097345134
86,JSWSTEEL,2013-11-22,2014-02-19,0.04,89.4,86.5,-0.0012975391498881456
87,SHRIRAMCIT,2013-11-22,2014-02-19,0.04,1080.0,970.0,-0.004074074074074075
88,DIVISLAB,2013-11-22,2014-02-19,0.04,567.75,680.5,0.007943637164244826
89,MARUTI,2013-11-22,2014-02-19,0.04,1662.0,1714.0,0.0012515042117930205
90,TATACOMM,2013-11-22,2014-02-19,0.04,185.83333333333334,186.23333333333335,8.609865470852141e-05
91,INDIANB,2013-11-22,2014-02-19,0.04,105.95,91.45,-0.005474280320906087
92,MCLEODRUSS,2013-11-22,2014-02-19,0.04,275.0,255.1,-0.0028945454545454556
93,CESC,2013-11-22,2014-02-19,0.04,393.1,439.0,0.004670567285677942
94,IBULHSGFIN,2013-11-22,2014-02-19,0.04,224.0,191.95,-0.005723214285714288
95,BAJFINANCE,2013-11-22,2014-02-19,0.04,139.995,155.105,0.0043172970463230785
96,M&M,2013-11-22,2014-02-19,0.04,469.0,468.0,-8.528784648187633e-05
97,MINDTREE,2013-11-22,2014-02-19,0.04,356.2375,406.25,0.005615635636338116
98,INFY,2013-11-22,2014-02-19,0.04,418.25,461.95625,0.004179916317991633
99,CUMMINSIND,2013-11-22,2014-02-19,0.04,419.85,457.1,0.003548886507085864
100,CADILAHC,2014-02-18,2014-05-19,0.04,190.26,184.0,-0.0013160937664248903
101,HCLTECH,2014-02-18,2014-05-19,0.04,754.0,688.9,-0.0034535809018567654
102,AUROPHARMA,2014-02-18,2014-05-19,0.04,251.075,317.5,0.010582495270337552
103,GLAXO,2014-02-18,2014-05-19,0.04,1506.0,1255.0,-0.006666666666666667
104,SHRIRAMCIT,2014-02-18,2014-05-19,0.04,951.35,1375.0,0.017812582120145054
105,IPCALAB,2014-02-18,2014-05-19,0.04,830.0,786.0,-0.0021204819277108435
106,MINDTREE,2014-02-18,2014-05-19,0.04,417.25,345.8,-0.006849610545236668
107,BAJAJHLDNG,2014-02-18,2014-05-19,0.04,959.95,1070.25,0.0045960727121204204
108,MCLEODRUSS,2014-02-18,2014-05-19,0.04,251.1,274.7,0.0037594583831142966
109,TORNTPHARM,2014-02-18,2014-05-19,0.04,555.5,599.65,0.0031791179117911777
110,APOLLOTYRE,2014-02-18,2014-05-19,0.04,119.0,175.7,0.019058823529411763
111,AMARAJABAT,2014-02-18,2014-05-19,0.04,370.0,389.9,0.002151351351351349
112,INFY,2014-02-18,2014-05-19,0.04,455.875,399.75,-0.004924595557992871
113,BHARATFORG,2014-02-18,2014-05-19,0.04,180.25,230.0,0.011040221914008322
114,DIVISLAB,2014-02-18,2014-05-19,0.04,682.475,652.5,-0.0017568409099234417
115,SYNDIBANK,2014-02-18,2014-05-19,0.04,79.4,124.6,0.022770780856423166
116,GAIL,2014-02-18,2014-05-19,0.04,102.18214709706596,116.20215953417377,0.005488243430152145
117,TATAMOTORS,2014-02-18,2014-05-19,0.04,387.95,456.0,0.007016368088671222
118,VOLTAS,2014-02-18,2014-05-19,0.04,121.3,179.55,0.0192085737840066
119,63MOONS,2014-02-18,2014-05-19,0.04,310.95,243.2,-0.008715227528541567
120,M&M,2014-02-18,2014-05-19,0.04,467.5,569.95,0.008765775401069523
121,EICHERMOT,2014-02-18,2014-05-19,0.04,4900.0,6281.25,0.011275510204081633
122,BPCL,2014-02-18,2014-05-19,0.04,118.33333333333333,186.33333333333334,0.022985915492957754
123,NIITTECH,2014-02-18,2014-05-19,0.04,408.55,360.2,-0.004733814710561745
124,BATAINDIA,2014-02-18,2014-05-19,0.04,510.0,524.0,0.0010980392156862747
125,IRB,2014-05-27,2014-08-25,0.04,194.65,253.4,0.012072951451322887
126,VEDL,2014-05-27,2014-08-25,0.04,281.5,290.8,0.0013214920071047973
127,ANDHRABANK,2014-05-27,2014-08-25,0.04,94.95,77.5,-0.00735123749341759
128,RPOWER,2014-05-27,2014-08-25,0.04,96.9,86.45,-0.00431372549019608
129,SHREECEM,2014-05-27,2014-08-25,0.04,6848.45,8115.0,0.007397586315151605
130,INDHOTEL,2014-05-27,2014-08-25,0.04,89.5,89.0,-0.000223463687150838
131,AIAENG,2014-05-27,2014-08-25,0.04,782.35,869.2,0.0044404678213076
132,HINDPETRO,2014-05-27,2014-08-25,0.04,98.32222222222221,102.75555555555555,0.0018035936263984648
133,INDIANB,2014-05-27,2014-08-25,0.04,178.0,153.45,-0.005516853932584272
134,SYNDIBANK,2014-05-27,2014-08-25,0.04,147.85,130.0,-0.0048292188028407155
135,RECLTD,2014-05-27,2014-08-25,0.04,172.275,140.8,-0.007308083006820489
136,AXISBANK,2014-05-27,2014-08-25,0.04,371.82,402.5,0.003300521757839816
137,JSWENERGY,2014-05-27,2014-08-25,0.04,76.95,78.6,0.0008576998050682216
138,SAIL,2014-05-27,2014-08-25,0.04,96.0,82.7,-0.005541666666666666
139,OIL,2014-05-27,2014-08-25,0.04,304.5112781954887,303.1578947368421,-0.00017777777777778177
140,IOB,2014-05-27,2014-08-25,0.04,78.7,66.5,-0.006200762388818298
141,COALINDIA,2014-05-27,2014-08-25,0.04,403.9,359.5,-0.004397128001980687
142,PFC,2014-05-27,2014-08-25,0.04,154.8,135.0,-0.005116279069767445
143,CANBK,2014-05-27,2014-08-25,0.04,448.5,397.0,-0.004593088071348941
144,ALBK,2014-05-27,2014-08-25,0.04,132.0,125.7,-0.0019090909090909082
145,JISLJALEQS,2014-05-27,2014-08-25,0.04,117.95,89.3,-0.009715981348028828
146,POWERGRID,2014-05-27,2014-08-25,0.04,125.6,134.2,0.002738853503184712
147,SBIN,2014-05-27,2014-08-25,0.04,269.71999999999997,253.0,-0.0024796084828711215
148,NTPC,2014-05-27,2014-08-25,0.04,155.35,142.3,-0.003360154489861599
149,NMDC,2014-05-27,2014-08-25,0.04,175.6,175.5,-2.277904328018094e-05
150,ANDHRABANK,2014-08-21,2014-11-18,0.04,74.95,89.15,0.007578385590393598
151,AMARAJABAT,2014-08-21,2014-11-18,0.04,598.0,697.35,0.006645484949832778
152,CYIENT,2014-08-21,2014-11-18,0.04,437.65,520.0,0.007526562321489777
153,LUPIN,2014-08-21,2014-11-18,0.04,1235.15,1448.0,0.006893089908108323
154,IOB,2014-08-21,2014-11-18,0.04,64.1,58.15,-0.0037129485179407153
155,SUNPHARMA,2014-08-21,2014-11-18,0.04,845.0,882.9,0.0017940828402366854
156,CIPLA,2014-08-21,2014-11-18,0.04,492.35,612.0,0.009720727125012693
157,GODREJCP,2014-08-21,2014-11-18,0.04,313.0,326.75,0.001757188498402556
158,EICHERMOT,2014-08-21,2014-11-18,0.04,10044.0,13879.0,0.015272799681401833
159,EMAMILTD,2014-08-21,2014-11-18,0.04,307.775,399.0,0.01185606368288523
160,GLENMARK,2014-08-21,2014-11-18,0.04,728.8,768.0,0.0021514818880351287
161,BRITANNIA,2014-08-21,2014-11-18,0.04,631.5,827.5,0.01241488519398258
162,AIAENG,2014-08-21,2014-11-18,0.04,871.5,1116.85,0.011261044176706824
163,BERGEPAINT,2014-08-21,2014-11-18,0.04,123.46428571428572,130.89285714285714,0.002406711021116571
164,TORNTPHARM,2014-08-21,2014-11-18,0.04,775.0,969.95,0.01006193548387097
165,M&M,2014-08-21,2014-11-18,0.04,676.5,625.55,-0.0030125646711012593
166,SHREECEM,2014-08-21,2014-11-18,0.04,7930.0,9162.7,0.006217906683480458
167,GILLETTE,2014-08-21,2014-11-18,0.04,2550.0,3490.0,0.014745098039215686
168,JPASSOCIAT,2014-08-21,2014-11-18,0.04,55.15,33.7,-0.01555757026291931
169,APOLLOHOSP,2014-08-21,2014-11-18,0.04,1163.05,1112.95,-0.001723055758565837
170,KOTAKBANK,2014-08-21,2014-11-18,0.04,498.775,555.0,0.004509047165555613
171,CADILAHC,2014-08-21,2014-11-18,0.04,242.79000000000002,308.0,0.010743440833642239
172,MINDTREE,2014-08-21,2014-11-18,0.04,521.25,570.85,0.0038062350119904094
173,BPCL,2014-08-21,2014-11-18,0.04,222.36666666666667,241.33333333333334,0.0034117823414780393
174,DABUR,2014-08-21,2014-11-18,0.04,221.0,236.0,0.0027149321266968325
175,LUPIN,2014-11-27,2015-02-24,0.04,1444.0,1650.1,0.005709141274238224
176,SBIN,2014-11-27,2015-02-24,0.04,307.0,296.9,-0.0013159609120521202
177,CASTROLIND,2014-11-27,2015-02-24,0.04,237.475,239.25,0.0002989788398778829
178,GODREJCP,2014-11-27,2015-02-24,0.04,320.31666666666666,364.6666666666667,0.005538269420885585
179,DRREDDY,2014-11-27,2015-02-24,0.04,3565.0,3375.0,-0.0021318373071528753
180,RECLTD,2014-11-27,2015-02-24,0.04,164.75,158.05,-0.0016267071320182067
181,BHEL,2014-11-27,2015-02-24,0.04,180.0666666666667,182.0,0.0004294705664568623
182,TATACOMM,2014-11-27,2015-02-24,0.04,300.6666666666667,266.3666666666667,-0.004563192904656321
183,TORNTPHARM,2014-11-27,2015-02-24,0.04,1020.55,1113.05,0.0036254960560482097
184,EICHERMOT,2014-11-27,2015-02-24,0.04,14300.0,16000.0,0.004755244755244755
185,SANOFI,2014-11-27,2015-02-24,0.04,3695.0,3454.55,-0.002602976995940458
186,BOSCHLTD,2014-11-27,2015-02-24,0.04,17989.0,26218.0,0.01829784868530769
187,BHARATFORG,2014-11-27,2015-02-24,0.04,471.5,635.25,0.013891834570519618
188,INFY,2014-11-27,2015-02-24,0.04,540.2375,569.75,0.002185150049746643
189,ASIANPAINT,2014-11-27,2015-02-24,0.04,709.4,810.0,0.005672399210600509
190,JSWENERGY,2014-11-27,2015-02-24,0.04,90.8,113.55,0.010022026431718062
191,HDFC,2014-11-27,2015-02-24,0.04,1152.5,1311.9,0.005532321041214754
192,CUMMINSIND,2014-11-27,2015-02-24,0.04,869.1,902.0,0.0015142101024047856
193,DCBBANK,2014-11-27,2015-02-24,0.04,101.4,112.4,0.004339250493096647
194,AIAENG,2014-11-27,2015-02-24,0.04,1157.95,1085.05,-0.002518243447471828
195,HDFCBANK,2014-11-27,2015-02-24,0.04,475.3,535.15,0.005036818851251838
196,THERMAX,2014-11-27,2015-02-24,0.04,1066.9,1221.0,0.005777486174899237
197,OFSS,2014-11-27,2015-02-24,0.04,3271.5,3300.0,0.0003484640073360844
198,PFC,2014-11-27,2015-02-24,0.04,149.7,136.75,-0.0034602538410153615
199,GSPL,2014-11-27,2015-02-24,0.04,109.9,115.95,0.0022020018198362135
200,ABB,2015-02-19,2015-05-19,0.04,1460.0,1334.0,-0.003452054794520548
201,ACC,2015-02-19,2015-05-19,0.04,1662.4,1510.0,-0.0036669874879692033
202,ADANIENT,2015-02-19,2015-05-19,0.04,115.68103448275863,132.58620689655172,0.005845443028541612
203,AMBUJACEM,2015-02-19,2015-05-19,0.04,273.0,241.7,-0.004586080586080588
204,BAJFINANCE,2015-02-19,2015-05-19,0.04,432.20500000000004,449.895,0.001637186057542133
205,BHARATFORG,2015-02-19,2015-05-19,0.04,625.95,645.45,0.0012461059190031153
206,BOSCHLTD,2015-02-19,2015-05-19,0.04,27199.0,22990.0,-0.006189933453435789
207,BOSCHLTD,2015-02-19,2015-05-19,0.04,27199.0,22990.0,-0.006189933453435789
208,DCBBANK,2015-02-19,2015-05-19,0.04,114.35,125.45,0.0038828159160472268
209,EMAMILTD,2015-02-19,2015-05-19,0.04,512.0,520.0,0.000625
210,HCLTECH,2015-02-19,2015-05-19,0.04,1015.0,930.0,-0.0033497536945812805
211,HDIL,2015-02-19,2015-05-19,0.04,117.5,104.9,-0.0042893617021276574
212,IBULHSGFIN,2015-02-19,2015-05-19,0.04,641.0,565.75,-0.004695787831513261
213,JUBLFOOD,2015-02-19,2015-05-19,0.04,840.5,869.15,0.0013634741225461023
214,LUPIN,2015-02-19,2015-05-19,0.04,1687.0,1739.0,0.0012329579134558388
215,POWERGRID,2015-02-19,2015-05-19,0.04,154.8,140.0,-0.003824289405684757
216,SIEMENS,2015-02-19,2015-05-19,0.04,1254.8,1392.1,0.004376793114440547
217,TATACOMM,2015-02-19,2015-05-19,0.04,276.6666666666667,291.46666666666664,0.0021397590361445715
218,THERMAX,2015-02-19,2015-05-19,0.04,1221.0,968.1,-0.008285012285012284
219,WIPRO,2015-02-19,2015-05-19,0.04,251.50375939849621,204.88721804511277,-0.007414050822122569
220,WOCKPHARMA,2015-02-19,2015-05-19,0.04,1519.0,1326.0,-0.005082290980908492
221,BEL,2015-02-19,2015-05-19,0.04,132.63333333333333,105.96666666666667,-0.008042221663734604
222,RNAVAL,2015-02-19,2015-05-19,0.04,82.0,60.25,-0.010609756097560976
223,INFY,2015-02-19,2015-05-19,0.04,573.5,496.825,-0.005347863993025285
224,BRITANNIA,2015-02-19,2015-05-19,0.04,1037.5,1150.5,0.0043566265060240965
225,ABB,2015-05-25,2015-08-20,0.04,1396.0,1331.0,-0.0018624641833810888
226,ADANIENT,2015-05-25,2015-08-20,0.04,136.20689655172413,86.6,-0.014568101265822784
227,ADANIENT,2015-05-25,2015-08-20,0.04,136.20689655172413,86.6,-0.014568101265822784
228,AMARAJABAT,2015-05-25,2015-08-20,0.04,872.0,1054.0,0.00834862385321101
229,APLLTD,2015-05-25,2015-08-20,0.04,543.35,725.0,0.013372595932640102
230,BAJAJ-AUTO,2015-05-25,2015-08-20,0.04,2300.0,2505.05,0.003566086956521742
231,BOSCHLTD,2015-05-25,2015-08-20,0.04,22605.2,25383.8,0.004916744819775979
232,DCBBANK,2015-05-25,2015-08-20,0.04,136.2,138.0,0.0005286343612334835
233,GLENMARK,2015-05-25,2015-08-20,0.04,886.7,1204.0,0.01431374760347355
234,INFRATEL,2015-05-25,2015-08-20,0.04,434.6,406.05,-0.0026277036355269227
235,ITC,2015-05-25,2015-08-20,0.04,214.29999999999998,212.0666666666667,-0.00041686109814900453
236,J&KBANK,2015-05-25,2015-08-20,0.04,105.0,101.0,-0.0015238095238095239
237,JUBLFOOD,2015-05-25,2015-08-20,0.04,870.025,897.525,0.0012643314847274505
238,MINDTREE,2015-05-25,2015-08-20,0.04,726.0,720.0,-0.0003305785123966942
239,OFSS,2015-05-25,2015-08-20,0.04,3630.0,4395.0,0.008429752066115704
240,PAGEIND,2015-05-25,2015-08-20,0.04,14801.3,14421.0,-0.001027747562714084
241,PERSISTENT,2015-05-25,2015-08-20,0.04,794.65,759.5,-0.0017693324104951853
242,SHREECEM,2015-05-25,2015-08-20,0.04,11700.0,11190.8,-0.0017408547008547035
243,TECHM,2015-05-25,2015-08-20,0.04,664.85,575.0,-0.0054057306159284065
244,THERMAX,2015-05-25,2015-08-20,0.04,1020.2,1051.05,0.0012095667516173263
245,UPL,2015-05-25,2015-08-20,0.04,359.1333333333334,375.3333333333333,0.001804343790607009
246,VOLTAS,2015-05-25,2015-08-20,0.04,318.8,304.9,-0.0017440401505646216
247,WABAG,2015-05-25,2015-08-20,0.04,765.45,752.0,-0.0007028545300150262
248,BRITANNIA,2015-05-25,2015-08-20,0.04,1224.875,1636.0,0.013425859781610368
249,EICHERMOT,2015-05-25,2015-08-20,0.04,18600.0,21248.0,0.005694623655913979
250,TORNTPHARM,2015-08-18,2015-11-16,0.04,1644.0,1545.0,-0.0024087591240875912
251,ASHOKLEY,2015-08-18,2015-11-16,0.04,92.35,90.3,-0.000887926367081753
252,BANKBARODA,2015-08-18,2015-11-16,0.04,213.4,173.9,-0.007403936269915651
253,DIVISLAB,2015-08-18,2015-11-16,0.04,1104.5,1145.1,0.0014703485740153882
254,PERSISTENT,2015-08-18,2015-11-16,0.04,734.75,646.0,-0.004831575365770671
255,IPCALAB,2015-08-18,2015-11-16,0.04,828.0,719.0,-0.005265700483091788
256,MARUTI,2015-08-18,2015-11-16,0.04,4555.0,4600.0,0.00039517014270032934
257,PNB,2015-08-18,2015-11-16,0.04,173.0,136.85,-0.008358381502890174
258,UNIONBANK,2015-08-18,2015-11-16,0.04,220.75,160.5,-0.010917327293318234
259,AMARAJABAT,2015-08-18,2015-11-16,0.04,1062.0,882.95,-0.00674387947269303
260,TORNTPOWER,2015-08-18,2015-11-16,0.04,180.4,188.1,0.001707317073170729
261,ADANIENT,2015-08-18,2015-11-16,0.04,89.05,75.3,-0.006176305446378439
262,BRITANNIA,2015-08-18,2015-11-16,0.04,1659.95,1445.0,-0.005179674086568874
263,WOCKPHARMA,2015-08-18,2015-11-16,0.04,1703.05,1531.9,-0.004019846745544755
264,REDINGTON,2015-08-18,2015-11-16,0.04,121.6,114.0,-0.0024999999999999983
265,CUMMINSIND,2015-08-18,2015-11-16,0.04,1179.95,1011.0,-0.005727361328869868
266,CANBK,2015-08-18,2015-11-16,0.04,344.7,276.8,-0.007879315346678269
267,THERMAX,2015-08-18,2015-11-16,0.04,1028.55,850.0,-0.006943755772689708
268,OFSS,2015-08-18,2015-11-16,0.04,4241.6,3892.0,-0.0032968691059977397
