,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,SETFGOLD,2013-07-02,2014-07-01,0.2,2588.95,2665.0,0.0058749686166206525
1,HGS,2013-07-02,2014-07-01,0.2,136.5,265.5,0.189010989010989
2,MCX,2013-07-02,2014-07-01,0.2,786.0,617.0,-0.04300254452926209
3,NESTLEIND,2013-07-02,2014-07-01,0.2,256.35,246.55,-0.0076457967622391345
4,PHOENIXLL,2014-07-01,2015-06-30,0.2,165.1,106.35,-0.07116898849182314
5,HIKAL,2014-07-01,2015-06-30,0.2,629.7,123.15,-0.16088613625535972
6,MAYURUNIQ,2014-07-01,2015-06-30,0.2,377.9,397.5,0.010373114580576886
7,SMSPHARMA,2014-07-01,2015-06-30,0.2,339.0,602.75,0.1556047197640118
8,SHILPAMED,2014-07-01,2015-06-30,0.2,445.9,897.75,0.20266875981161697
9,SETFGOLD,2015-07-01,2016-06-29,0.2,2485.0,2836.5,0.0282897384305835
10,BIL,2015-07-01,2016-06-29,0.2,504.0,505.0,0.0003968253968253968
11,ARCOTECH,2015-07-01,2016-06-29,0.2,332.6,363.05,0.01831028262176788
12,BALKRISIND,2015-07-01,2016-06-29,0.2,362.725,330.525,-0.01775449720862915
13,ACCELYA,2015-07-01,2016-06-29,0.2,1019.0,1109.0,0.017664376840039256
14,SETFGOLD,2016-06-30,2017-06-29,0.2,2832.95,2615.0,-0.01538678762420797
15,GALLISPAT,2016-06-30,2017-06-29,0.2,59.05,21.19,-0.12823031329381882
16,PIONDIST,2016-06-30,2017-06-29,0.2,160.05,210.0,0.06241799437675725
17,ALKEM,2016-06-30,2017-06-29,0.2,1379.95,1834.55,0.06588644516105654
18,NESTLEIND,2016-06-30,2017-06-29,0.2,322.22,332.75,0.0065359071441871835
19,RESPONIND,2017-07-04,2018-07-03,0.2,84.0,74.4,-0.022857142857142847
20,TTKHLTCARE,2017-07-04,2018-07-03,0.2,763.8,715.2,-0.012725844461901
21,DFMFOODS,2017-07-04,2018-07-03,0.2,286.81,248.98,-0.02637983333914439
22,AIFL,2017-07-04,2018-07-03,0.2,413.85,445.2,0.015150416817687551
23,SALZERELEC,2017-07-04,2018-07-03,0.2,199.7,178.55,-0.021181772658988463
24,SETFGOLD,2018-07-03,2019-07-02,0.2,2749.65,3001.5,0.01831869510664993
25,WHEELS,2018-07-03,2019-07-02,0.2,1111.0,810.05,-0.05417641764176419
26,SILVERTUC,2018-07-03,2019-07-02,0.2,121.05,125.0,0.00652622883106155
27,SOMANYCERA,2018-07-03,2019-07-02,0.2,499.95,444.0,-0.02238223822382238
28,AIFL,2018-07-03,2019-07-02,0.2,445.2,3.05,-0.19862982929020667
29,GOLD1,2019-07-02,2020-06-30,0.2,291.95,426.75,0.09234457955129305
30,FMGOETZE,2019-07-02,2020-06-30,0.2,562.8,393.9,-0.060021321961620466
31,JUBLPHARMA,2019-07-02,2020-06-30,0.2,507.8,656.0,0.05836943678613627
32,BAYERCROP,2019-07-02,2020-06-30,0.2,3410.1,5870.0,0.1442714289903522
33,SSWL,2019-07-02,2020-06-30,0.2,390.0,214.975,-0.08975641025641026
34,SETFGOLD,2020-07-01,2021-06-30,0.2,4398.0,4169.0,-0.010413824465666213
35,GOLD1,2020-07-01,2021-06-30,0.2,429.1,409.4,-0.009182008855744602
36,QGOLDHALF,2020-07-01,2021-06-30,0.2,2129.0,2019.0,-0.010333489901362142
37,SAKAR,2020-07-01,2021-06-30,0.2,82.8,145.45,0.15132850241545892
38,JUMPNET,2020-07-01,2021-06-30,0.2,59.2,10.65,-0.16402027027027027
39,JAGRAN,2021-07-01,2022-06-30,0.2,65.5,49.4,-0.04916030534351146
40,BSLGOLDETF,2021-07-01,2022-06-30,0.2,4316.0,46.68,-0.1978368860055607
41,KSOLVES,2021-07-01,2022-06-30,0.2,233.85,178.95,-0.04695317511225145
42,GOLD1,2021-07-01,2022-06-30,0.2,411.75,43.89,-0.17868123861566484
43,SETFGOLD,2021-07-01,2022-06-30,0.2,4166.1,45.34,-0.1978233839802213
44,BUTTERFLY,2022-07-05,2023-07-04,0.2,1144.95,1140.35,-0.0008035285383641446
45,BBETF0432,2022-07-05,2023-07-04,0.2,983.0,1079.99,0.019733468972533065
46,ICRA,2022-07-05,2023-07-04,0.2,3731.3,5560.05,0.09802213705678986
47,SANSERA,2022-07-05,2023-07-04,0.2,668.6,881.95,0.06381992222554593
48,DMCC,2023-07-04,2024-07-02,0.2,329.0,323.8,-0.0031610942249240053
49,SETFGOLD,2023-07-04,2024-07-02,0.2,51.5,62.99,0.04462135922330098
50,SILVERBEES,2023-07-04,2024-07-02,0.2,68.76,85.66,0.04915648632926117
51,AHL,2023-07-04,2024-07-02,0.2,278.85,499.6,0.15832885063654295
52,SILVER,2023-07-04,2024-07-02,0.2,71.58,89.94,0.05129924559932943
53,BBETF0432,2024-07-02,2025-07-01,0.2,1157.4,1277.35,0.02072749265595297
54,LIQUIDSBI,2024-07-02,2025-07-01,0.2,999.99,999.99,0.0
55,ABSLLIQUID,2024-07-02,2025-07-01,0.2,999.99,1000.01,4.000040000396367e-06
56,LIQUID,2024-07-02,2025-07-01,0.2,1000.0,999.99,-1.9999999999981813e-06
57,LIQUID1,2024-07-02,2025-07-01,0.2,1000.01,1057.23,0.011443885561144394
