,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,BOSCHLTD,2013-10-01,2014-03-31,0.05,8883.6,10716.0,0.010313386464946641
1,CYIENT,2013-10-01,2014-03-31,0.05,214.05,321.75,0.025157673440784862
2,CADILAHC,2013-10-01,2014-03-31,0.05,136.88,202.8,0.024079485680888378
3,TATACHEM,2013-10-01,2014-03-31,0.05,238.5,288.0,0.010377358490566039
4,THERMAX,2013-10-01,2014-03-31,0.05,582.2,750.0,0.014410855376159392
5,CUMMINSIND,2013-10-01,2014-03-31,0.05,410.0,594.45,0.022493902439024396
6,DRREDDY,2013-10-01,2014-03-31,0.05,2372.95,2630.25,0.005421521734549826
7,MINDTREE,2013-10-01,2014-03-31,0.05,304.775,342.75,0.006230005741940781
8,TCS,2013-10-01,2014-03-31,0.05,966.0,1052.0,0.004451345755693581
9,CIPLA,2013-10-01,2014-03-31,0.05,432.0,388.2,-0.005069444444444447
10,CONCOR,2013-10-01,2014-03-31,0.05,358.975,487.625,0.01791907514450867
11,BAJAJHLDNG,2013-10-01,2014-03-31,0.05,776.0,1008.0,0.014948453608247425
12,GRASIM,2013-10-01,2014-03-31,0.05,529.98,572.55,0.004016189290161887
13,DIVISLAB,2013-10-01,2014-03-31,0.05,481.65,680.6,0.020652963770372686
14,TORNTPHARM,2013-10-01,2014-03-31,0.05,436.05,530.0,0.010772847150556129
15,SANOFI,2013-10-01,2014-03-31,0.05,2600.0,3075.0,0.009134615384615385
16,ACC,2013-10-01,2014-03-31,0.05,1119.25,1361.0,0.010799642617824436
17,GLAXO,2013-10-01,2014-03-31,0.05,1234.0,1300.0,0.002674230145867099
18,LUPIN,2013-10-01,2014-03-31,0.05,860.0,956.2,0.005593023255813956
19,OFSS,2013-10-01,2014-03-31,0.05,3052.1,3020.0,-0.0005258674355361867
20,OFSS,2014-03-28,2014-09-23,0.05,2980.0,3980.0,0.016778523489932886
21,VIDEOIND,2014-03-28,2014-09-23,0.05,161.05,168.5,0.002312946289972055
22,CRISIL,2014-03-28,2014-09-23,0.05,1207.0,2160.0,0.039478044739022375
23,BAJAJHLDNG,2014-03-28,2014-09-23,0.05,999.95,1375.05,0.01875593779688984
24,BOSCHLTD,2014-03-28,2014-09-23,0.05,10525.0,15090.0,0.02168646080760095
25,COLPAL,2014-03-28,2014-09-23,0.05,681.0,829.0,0.010866372980910427
26,CIPLA,2014-03-28,2014-09-23,0.05,386.35,624.0,0.030755791380872265
27,DRREDDY,2014-03-28,2014-09-23,0.05,2640.0,3205.0,0.010700757575757575
28,CADILAHC,2014-03-28,2014-09-23,0.05,199.2,257.69,0.014681224899598397
29,BAJAJ-AUTO,2014-03-28,2014-09-23,0.05,2080.0,2403.8,0.00778365384615385
30,CONCOR,2014-03-28,2014-09-23,0.05,475.0,687.35,0.02235263157894737
31,PAGEIND,2014-03-28,2014-09-23,0.05,6503.95,7892.55,0.010675051314970136
32,BRITANNIA,2014-03-28,2014-09-23,0.05,416.0,688.0,0.032692307692307694
33,TATACHEM,2014-03-28,2014-09-23,0.05,277.65,401.85,0.022366288492706655
34,SHREECEM,2014-03-28,2014-09-23,0.05,5406.3,8485.0,0.028473262675027283
35,INFY,2014-03-28,2014-09-23,0.05,405.0125,455.625,0.006248263942470913
36,POWERGRID,2014-03-28,2014-09-23,0.05,105.35,137.5,0.01525866160417656
37,LUPIN,2014-03-28,2014-09-23,0.05,939.0,1398.0,0.0244408945686901
38,GRASIM,2014-03-28,2014-09-23,0.05,556.65,747.96,0.017184047426569666
39,IPCALAB,2014-03-28,2014-09-23,0.05,834.65,781.0,-0.003213922003234888
40,GLAXO,2014-09-24,2015-03-23,0.05,1280.0,1643.2,0.014187500000000002
41,VIDEOIND,2014-09-24,2015-03-23,0.05,171.9,150.0,-0.006369982547993021
42,ITC,2014-09-24,2015-03-23,0.05,247.0666666666667,217.5666666666667,-0.00597004856988667
43,CRISIL,2014-09-24,2015-03-23,0.05,2175.0,2044.0,-0.0030114942528735636
44,HDFCBANK,2014-09-24,2015-03-23,0.05,423.55,527.975,0.012327352142604182
45,HINDUNILVR,2014-09-24,2015-03-23,0.05,743.0,899.7,0.010545087483176317
46,COLPAL,2014-09-24,2015-03-23,0.05,816.5,1002.55,0.011393141457440291
47,OFSS,2014-09-24,2015-03-23,0.05,3589.0,3206.3,-0.005331568682084144
48,BAJAJ-AUTO,2014-09-24,2015-03-23,0.05,2401.0,2011.8,-0.008104956268221577
49,LUPIN,2014-09-24,2015-03-23,0.05,1354.5,1912.0,0.020579549649317092
50,MARICO,2014-09-24,2015-03-23,0.05,140.625,182.475,0.014879999999999999
51,DRREDDY,2014-09-24,2015-03-23,0.05,3180.2,3430.0,0.0039274259480535844
52,DABUR,2014-09-24,2015-03-23,0.05,220.95,266.3,0.010262502828694281
53,UBL,2014-09-24,2015-03-23,0.05,705.5,989.15,0.02010276399716513
54,DIVISLAB,2014-09-24,2015-03-23,0.05,855.0,896.25,0.002412280701754386
55,TECHM,2014-09-24,2015-03-23,0.05,495.0,684.0,0.019090909090909092
56,RELIANCE,2014-09-24,2015-03-23,0.05,484.25,428.25,-0.005782137325761488
57,POWERGRID,2014-09-24,2015-03-23,0.05,136.1,149.5,0.004922850844966939
58,SHREECEM,2014-09-24,2015-03-23,0.05,8589.0,10980.0,0.013918966119455119
