,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,LUPIN,2013-04-02,2014-04-01,0.13698630136986298,632.15,939.8,0.06666746122983208
1,GRASIM,2013-04-02,2014-04-01,0.1287671232876712,562.0,580.0,0.0041242139131282595
2,ITC,2013-04-02,2014-04-01,0.12054794520547944,204.4,235.66666666666666,0.01843998248576968
3,TCS,2013-04-02,2014-04-01,0.11232876712328767,778.0,1072.5,0.04252033665528048
4,DRREDDY,2013-04-02,2014-04-01,0.10410958904109589,1825.0,2581.0,0.04312704072058548
5,KOTAKBANK,2013-04-02,2014-04-01,0.09589041095890412,327.475,390.75,0.018528027340788324
6,SUNPHARMA,2013-04-02,2014-04-01,0.08767123287671234,406.125,575.0,0.036455474181729265
7,HDFCBANK,2013-04-02,2014-04-01,0.07945205479452057,312.5,375.75,0.016081095890410964
8,NTPC,2013-04-02,2014-04-01,0.0712328767123288,143.2,120.8,-0.011142572893548634
9,ASIANPAINT,2013-04-02,2014-04-01,0.06301369863013702,495.495,547.75,0.006645437031489339
10,CAIRN,2014-04-02,2015-04-01,0.13698630136986298,346.0,213.85,-0.052320057011639866
11,HINDUNILVR,2014-04-02,2015-04-01,0.1287671232876712,604.0,873.5,0.05745486709607184
12,ITC,2014-04-02,2015-04-01,0.12054794520547944,235.0666666666667,217.23333333333335,-0.0091453702048967
13,POWERGRID,2014-04-02,2015-04-01,0.11232876712328767,108.15,145.1,0.03837769713551066
14,ASIANPAINT,2014-04-02,2015-04-01,0.10410958904109589,536.0,810.0,0.0532202003680229
15,BAJAJ-AUTO,2014-04-02,2015-04-01,0.09589041095890412,2073.45,2027.05,-0.002145851150735797
16,HDFC,2014-04-02,2015-04-01,0.08767123287671234,889.8,1318.95,0.042283782410700285
17,HEROMOTOCO,2014-04-02,2015-04-01,0.07945205479452057,2270.0,2639.95,0.012948584877195097
18,DIVISLAB,2014-04-02,2015-04-01,0.0712328767123288,676.125,885.05,0.022011209121276822
19,HDFCBANK,2014-04-02,2015-04-01,0.06301369863013702,372.475,513.05,0.023781866393533812
20,BAJAJ-AUTO,2015-04-06,2016-03-31,0.13698630136986298,2030.0,2418.0,0.026182603414535387
21,MARUTI,2015-04-06,2016-03-31,0.1287671232876712,3646.0,3739.5,0.00330217389670797
22,HEROMOTOCO,2015-04-06,2016-03-31,0.12054794520547944,2673.9,2920.5,0.011117514973511058
23,HDFCBANK,2015-04-06,2016-03-31,0.11232876712328767,517.5,533.425,0.0034566871815233835
24,POWERGRID,2015-04-06,2016-03-31,0.10410958904109589,146.4,138.5,-0.005617935474212145
25,DIVISLAB,2015-04-06,2016-03-31,0.09589041095890412,902.95,986.0,0.008819645196452718
26,TCS,2015-04-06,2016-03-31,0.08767123287671234,1279.0,1239.15,-0.002731586106440171
27,LUPIN,2015-04-06,2016-03-31,0.07945205479452057,2039.65,1492.0,-0.021333031553560266
28,INFY,2015-04-06,2016-03-31,0.0712328767123288,544.75,605.125,0.007894786473624325
29,WIPRO,2015-04-06,2016-03-31,0.06301369863013702,236.44736842105263,211.22180451127818,-0.006722663451915409
30,HDFCBANK,2016-04-01,2017-03-31,0.13698630136986298,534.4,726.9,0.04934480354359772
31,WIPRO,2016-04-01,2017-03-31,0.1287671232876712,213.15789473684208,192.5563909774436,-0.012445217559372791
32,GRASIM,2016-04-01,2017-03-31,0.12054794520547944,762.2,1070.2,0.0487126307049169
33,TCS,2016-04-01,2017-03-31,0.11232876712328767,1252.5,1219.2,-0.002986465425313752
34,HCLTECH,2016-04-01,2017-03-31,0.10410958904109589,820.0,884.0,0.00812562646174407
35,BAJAJ-AUTO,2016-04-01,2017-03-31,0.09589041095890412,2410.0,2822.5,0.016412777809355995
36,ASIANPAINT,2016-04-01,2017-03-31,0.08767123287671234,871.0,1070.0,0.020030511300190307
37,BHARTIARTL,2016-04-01,2017-03-31,0.07945205479452057,350.2,350.0,-4.5375245456605404e-05
38,ACC,2016-04-01,2017-03-31,0.0712328767123288,1371.25,1422.1,0.0026415254554763264
39,AMBUJACEM,2016-04-01,2017-03-31,0.06301369863013702,231.9,234.0,0.0005706285775044734
40,HDFCBANK,2017-04-05,2018-04-03,0.13698630136986298,717.625,961.975,0.04664358507538899
41,BAJAJ-AUTO,2017-04-05,2018-04-03,0.1287671232876712,2786.5,2790.0,0.0001617387157749324
42,LUPIN,2017-04-05,2018-04-03,0.12054794520547944,1444.0,773.0,-0.05601639282055174
