,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,TATASTLBSL,2013-07-02,2013-12-30,0.056179775280898896,462.95,477.1,0.0017171267312338727
1,FIEMIND,2013-07-02,2013-12-30,0.05483146067415732,190.5,344.05,0.04419617210770004
2,NESTLEIND,2013-07-02,2013-12-30,0.05348314606741574,5126.9,5340.0,0.0022230311546872993
3,SOLARINDS,2013-07-02,2013-12-30,0.05213483146067417,188.59,180.0,-0.0023746656887809075
4,NATCOPHARM,2013-07-02,2013-12-30,0.050786516853932595,90.61,162.51,0.04029964200196174
5,CAIRN,2013-07-02,2013-12-30,0.04943820224719102,292.1,325.0,0.005568356227088611
6,BAYERCROP,2013-07-02,2013-12-30,0.04808988764044945,1434.0,1737.65,0.010183050475608423
7,HGS,2013-07-02,2013-12-30,0.04674157303370787,273.0,478.95,0.03526163723916533
8,CARERATING,2013-07-02,2013-12-30,0.045393258426966294,600.25,723.0,0.009282836271403768
9,BAJAJCORP,2013-07-02,2013-12-30,0.044044943820224725,250.0,220.65,-0.005170876404494382
10,TATAMTRDVR,2013-07-02,2013-12-30,0.04269662921348315,142.95,194.7,0.015456807008029053
11,WIPRO,2013-07-02,2013-12-30,0.04,132.33082706766916,208.75939849624058,0.023102272727272728
12,CEATLTD,2013-07-02,2013-12-30,0.038651685393258424,105.1,308.45,0.07478420765669934
13,MCX,2013-07-02,2013-12-30,0.03730337078651685,786.0,455.0,-0.015709180318495008
14,KSCL,2013-07-02,2013-12-30,0.03595505617977528,326.0,366.2,0.004433721651616459
15,PHILIPCARB,2013-07-02,2013-12-30,0.0346067415730337,61.0,59.8,-0.0006807883588137793
16,RANEHOLDIN,2013-07-02,2013-12-30,0.03325842696629212,182.9,150.75,-0.005846136834151404
17,TALWALKARS,2013-07-02,2013-12-30,0.03191011235955055,137.0,164.45,0.006393668498318703
18,MBLINFRA,2013-07-02,2013-12-30,0.030561797752808977,118.5,80.5,-0.009800407718200347
19,GICHSGFIN,2013-07-02,2013-12-30,0.0292134831460674,112.0,105.0,-0.0018258426966292125
20,HEXAWARE,2013-07-02,2013-12-30,0.027865168539325826,87.7,133.5,0.014552163273673006
21,TI,2013-07-02,2013-12-30,0.026516853932584253,51.35,59.4,0.004156975153988377
22,ATLASCYCLE,2013-07-02,2013-12-30,0.025168539325842676,250.7,255.75,0.0005069849365596561
23,JKLAKSHMI,2013-07-02,2013-12-30,0.023820224719101103,98.8,80.2,-0.004484374289223486
24,RAINBOWPAP,2013-12-31,2014-06-30,0.056179775280898896,76.95,82.5,0.004051952603105766
25,TATASTLBSL,2013-12-31,2014-06-30,0.05483146067415732,486.2,393.0,-0.010510679010348543
26,TIDEWATER,2013-12-31,2014-06-30,0.05348314606741574,7385.0,11250.0,0.027990840832845205
27,ABBOTINDIA,2013-12-31,2014-06-30,0.05213483146067417,1690.0,2121.15,0.013300551825011641
28,MARICO,2013-12-31,2014-06-30,0.050786516853932595,110.5,122.825,0.005664649956784791
29,NESTLEIND,2013-12-31,2014-06-30,0.04943820224719102,5351.0,4930.0,-0.0038896436453125433
30,BAYERCROP,2013-12-31,2014-06-30,0.04808988764044945,1742.0,1825.55,0.002306492601813748
31,CAIRN,2013-12-31,2014-06-30,0.04674157303370787,324.95,362.8,0.005444433110711937
32,TIMKEN,2013-12-31,2014-06-30,0.045393258426966294,177.95,271.0,0.023736120801512866
33,TATASTLLP,2013-12-31,2014-06-30,0.044044943820224725,311.6,648.1,0.04756458150033896
34,JAYSREETEA,2013-12-31,2014-06-30,0.04269662921348315,93.85,106.95,0.005959785217864993
35,TUBEINVEST,2013-12-31,2014-06-30,0.04134831460674157,156.5,294.8,0.036539756614136484
36,GICHSGFIN,2013-12-31,2014-06-30,0.03730337078651685,104.15,176.6,0.025949392352214547
37,DHANUKA,2013-12-31,2014-06-30,0.03595505617977528,194.7,407.0,0.03920523074969847
38,SURYAROSNI,2013-12-31,2014-06-30,0.0346067415730337,77.5,101.45,0.01069459949256977
39,INSECTICID,2013-12-31,2014-06-30,0.03325842696629212,268.75,433.5,0.020388189182126985
