,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,TATASTLBSL,2014-01-02,2014-06-30,0.2,483.9,393.0,-0.03756974581525108
1,NESTLEIND,2014-01-02,2014-06-30,0.2,5325.75,4930.0,-0.014861756560108906
2,SBBJ,2014-01-02,2014-06-30,0.2,335.0,528.5,0.1155223880597015
3,SBT,2014-01-02,2014-06-30,0.2,437.1,584.05,0.06723861816517956
4,CAIRN,2014-01-02,2014-06-30,0.2,323.0,362.8,0.024643962848297223
5,TATASTLBSL,2014-07-02,2014-12-29,0.2,400.0,89.1,-0.15545
6,RAINBOWPAP,2014-07-02,2014-12-29,0.2,84.0,68.0,-0.0380952380952381
7,ABBOTINDIA,2014-07-02,2014-12-29,0.2,2200.15,3580.0,0.12543235688475785
8,NESTLEIND,2014-07-02,2014-12-29,0.2,4935.05,6122.0,0.04810285610074872
9,CAIRN,2014-07-02,2014-12-29,0.2,366.75,242.1,-0.0679754601226994
10,NESTLEIND,2014-12-31,2015-06-29,0.2,6202.5,5825.5,-0.012156388553002823
11,N100,2014-12-31,2015-06-29,0.2,263.99,285.97,0.01665214591461799
12,FIEMIND,2014-12-31,2015-06-29,0.2,821.05,535.0,-0.06967906948419707
13,CAIRN,2014-12-31,2015-06-29,0.2,235.0,179.8,-0.04697872340425532
14,REPCOHOME,2014-12-31,2015-06-29,0.2,643.0,610.2,-0.010202177293934668
15,KOTAKNIFTY,2015-07-01,2015-12-28,0.2,830.0,798.0,-0.007710843373493976
16,ARCOTECH,2015-07-01,2015-12-28,0.2,332.6,350.0,0.010463018641010208
17,FIEMIND,2015-07-01,2015-12-28,0.2,523.6,779.0,0.0975553857906799
18,BIL,2015-07-01,2015-12-28,0.2,504.0,530.0,0.010317460317460317
19,NESTLEIND,2015-07-01,2015-12-28,0.2,6400.0,5776.0,-0.019500000000000003
20,ABBOTINDIA,2015-12-30,2016-06-27,0.2,5708.0,4488.0,-0.042747021723896286
21,SOLARINDS,2015-12-30,2016-06-27,0.2,679.01,602.2,-0.022624114519668326
22,VGUARD,2015-12-30,2016-06-27,0.2,60.91428571428572,96.78571428571429,0.1177767354596623
23,MANDHANA,2015-12-30,2016-06-27,0.2,292.1,123.35,-0.11554262238959262
24,TIMKEN,2015-12-30,2016-06-27,0.2,545.25,535.4,-0.0036130215497478307
25,BAYERCROP,2016-06-29,2016-12-26,0.2,3956.0,4060.05,0.005260364004044499
26,GALLISPAT,2016-06-29,2016-12-26,0.2,58.42999999999999,48.93,-0.032517542358377526
27,BYKE,2016-06-29,2016-12-26,0.2,161.75,166.9,0.006367851622874814
28,ABBOTINDIA,2016-06-29,2016-12-26,0.2,4491.0,4672.55,0.008085059006902703
29,NESTLEIND,2016-06-29,2016-12-26,0.2,6484.0,5810.0,-0.02078963602714374
30,BAJAJCORP,2016-12-28,2017-06-27,0.2,357.35,373.1,0.00881488736532811
31,BAYERCROP,2016-12-28,2017-06-27,0.2,4045.85,4615.05,0.02813747420196005
32,NESTLEIND,2016-12-28,2017-06-27,0.2,5869.95,6651.0,0.02661181100350089
33,CIGNITITEC,2016-12-28,2017-06-27,0.2,351.9,300.0,-0.02949701619778345
34,CLNINDIA,2016-12-28,2017-06-27,0.2,700.0,624.8,-0.0214857142857143
35,NESTLEIND,2017-06-28,2017-12-26,0.2,6630.1,7884.45,0.037838041658496836
36,BAJAJCORP,2017-06-28,2017-12-26,0.2,377.8,484.3,0.0563790365272631
37,ABBOTINDIA,2017-06-28,2017-12-26,0.2,4300.0,5595.0,0.06023255813953488
38,CLNINDIA,2017-06-28,2017-12-26,0.2,622.05,571.0,-0.016413471585885367
39,KIRLOSENG,2017-06-28,2017-12-26,0.2,400.0,408.25,0.004125
40,NIFTYIWIN,2017-12-27,2018-06-25,0.2,107.95,112.85,0.009078276980083356
41,ZYDUSWELL,2017-12-27,2018-06-25,0.2,974.0,1375.8,0.08250513347022587
42,NESTLEIND,2017-12-27,2018-06-25,0.2,7864.0,9850.1,0.05051119023397763
43,HMVL,2017-12-27,2018-06-25,0.2,251.35,202.65,-0.03875074597175253
44,CLNINDIA,2017-12-27,2018-06-25,0.2,566.0,427.25,-0.04902826855123675
