,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,HDFCBANK,2013-07-02,2013-09-30,0.1,334.35,303.0,-0.009376401973979369
1,GRASIM,2013-07-02,2013-09-30,0.1,558.0,534.8,-0.004157706093189973
2,ICICIBANK,2013-07-02,2013-09-30,0.1,214.11999999999998,181.35999999999999,-0.01529983186997945
3,ACC,2013-07-02,2013-09-30,0.1,1220.0,1099.7,-0.009860655737704914
4,ITC,2013-07-02,2013-09-30,0.1,216.66666666666666,230.23333333333335,0.006261538461538473
5,ASIANPAINT,2013-07-02,2013-09-30,0.1,468.21000000000004,470.0,0.00038230708442791987
6,RELIANCE,2013-07-02,2013-09-30,0.1,441.55,416.025,-0.005780772279470057
7,KOTAKBANK,2013-07-02,2013-09-30,0.1,360.05,338.5,-0.005985279822246913
8,SBIN,2013-07-02,2013-09-30,0.1,201.115,161.38,-0.019757352758372083
9,HDFC,2013-07-02,2013-09-30,0.1,886.65,780.0,-0.012028421586871932
10,HDFCBANK,2013-10-01,2013-12-30,0.1,299.4,338.4,0.01302605210420842
11,RELIANCE,2013-10-01,2013-12-30,0.1,413.15,440.5,0.0066198717172939675
12,CIPLA,2013-10-01,2013-12-30,0.1,432.0,407.25,-0.005729166666666667
13,ACC,2013-10-01,2013-12-30,0.1,1119.25,1122.15,0.0002591020772839036
14,BAJAJ-AUTO,2013-10-01,2013-12-30,0.1,2000.0,1939.35,-0.003032500000000005
15,ITC,2013-10-01,2013-12-30,0.1,226.9,214.66666666666666,-0.005391508741001917
16,GRASIM,2013-10-01,2013-12-30,0.1,529.98,543.8,0.002607645571530989
17,LT,2013-10-01,2013-12-30,0.1,526.8666666666667,718.3333333333334,0.036340630140453
18,DRREDDY,2013-10-01,2013-12-30,0.1,2372.95,2522.05,0.006283318232579716
19,DIVISLAB,2013-10-01,2013-12-30,0.1,481.65,612.5,0.027167030001038105
20,RELIANCE,2013-12-31,2014-03-31,0.1,444.0,458.125,0.0031813063063063063
21,BAJAJ-AUTO,2013-12-31,2014-03-31,0.1,1906.0,2068.7,0.008536201469045112
22,GRASIM,2013-12-31,2014-03-31,0.1,541.25,572.55,0.005782909930715927
23,CIPLA,2013-12-31,2014-03-31,0.1,402.75,388.2,-0.0036126629422718838
24,DRREDDY,2013-12-31,2014-03-31,0.1,2532.25,2630.25,0.0038700760193503803
25,HDFCBANK,2013-12-31,2014-03-31,0.1,336.05,373.975,0.011285522987650651
26,ITC,2013-12-31,2014-03-31,0.1,215.33333333333334,239.4333333333333,0.011191950464396269
27,INFY,2013-12-31,2014-03-31,0.1,437.5,410.6625,-0.00613428571428571
28,M&M,2013-12-31,2014-03-31,0.1,477.5,486.15,0.0018115183246073252
29,MARUTI,2013-12-31,2014-03-31,0.1,1780.1,1937.95,0.008867479355092418
30,HDFCBANK,2014-04-01,2014-06-30,0.1,375.75,409.95,0.009101796407185626
31,HDFC,2014-04-01,2014-06-30,0.1,885.0,983.7,0.011152542372881361
32,RELIANCE,2014-04-01,2014-06-30,0.1,468.0,506.275,0.008178418803418798
33,HINDUNILVR,2014-04-01,2014-06-30,0.1,605.0,618.0,0.0021487603305785125
34,GRASIM,2014-04-01,2014-06-30,0.1,580.0,685.0,0.01810344827586207
35,CAIRN,2014-04-01,2014-06-30,0.1,332.95,362.8,0.008965310106622625
36,ITC,2014-04-01,2014-06-30,0.1,235.66666666666666,213.73333333333335,-0.009306930693069298
37,POWERGRID,2014-04-01,2014-06-30,0.1,105.5,137.8,0.030616113744075843
38,BAJAJ-AUTO,2014-04-01,2014-06-30,0.1,2083.6,2297.6,0.01027068535227491
39,KOTAKBANK,2014-04-01,2014-06-30,0.1,390.75,430.3,0.01012156110044786
40,HDFCBANK,2014-07-01,2014-09-29,0.1,411.5,436.5,0.006075334143377886
41,RELIANCE,2014-07-01,2014-09-29,0.1,508.6,468.475,-0.007889303971686985
42,ICICIBANK,2014-07-01,2014-09-29,0.1,284.11,295.86,0.0041357220794762594
43,HDFC,2014-07-01,2014-09-29,0.1,990.25,1038.2,0.004842211562736687
44,CAIRN,2014-07-01,2014-09-29,0.1,365.05,311.45,-0.014682920147924949
45,ITC,2014-07-01,2014-09-29,0.1,218.4,247.13333333333333,0.013156288156288151
46,POWERGRID,2014-07-01,2014-09-29,0.1,140.0,137.0,-0.002142857142857143
47,BAJAJ-AUTO,2014-07-01,2014-09-29,0.1,2314.95,2349.95,0.0015119117043564656
48,LUPIN,2014-07-01,2014-09-29,0.1,1051.0,1376.1,0.0309324452901998
49,LT,2014-07-01,2014-09-29,0.1,1141.3333333333333,983.9,-0.01379380841121495
50,RELIANCE,2014-09-30,2014-12-29,0.1,464.0,444.25,-0.004256465517241379
51,HDFCBANK,2014-09-30,2014-12-29,0.1,432.1,475.05,0.009939828743346445
52,ICICIBANK,2014-09-30,2014-12-29,0.1,291.0,350.0,0.02027491408934708
53,AXISBANK,2014-09-30,2014-12-29,0.1,385.0,495.0,0.02857142857142857
54,MARUTI,2014-09-30,2014-12-29,0.1,3018.0,3335.05,0.01050530152418821
55,ITC,2014-09-30,2014-12-29,0.1,242.9333333333333,244.73333333333335,0.000740944017563134
56,TECHM,2014-09-30,2014-12-29,0.1,498.0,512.4,0.0028915662650602363
57,INDUSINDBK,2014-09-30,2014-12-29,0.1,624.8,787.0,0.02596030729833548
58,ACC,2014-09-30,2014-12-29,0.1,1437.0,1403.8,-0.0023103688239387646
59,BAJAJ-AUTO,2014-09-30,2014-12-29,0.1,2311.0,2499.7,0.00816529640848117
60,HDFCBANK,2014-12-30,2015-03-30,0.1,475.0,510.0,0.007368421052631579
61,RELIANCE,2014-12-30,2015-03-30,0.1,448.55,408.3,-0.008973358599933118
62,ICICIBANK,2014-12-30,2015-03-30,0.1,352.0,316.3,-0.010142045454545452
63,BAJAJ-AUTO,2014-12-30,2015-03-30,0.1,2490.0,2030.0,-0.018473895582329317
64,AXISBANK,2014-12-30,2015-03-30,0.1,495.05,552.5,0.011604888395111604
65,MARUTI,2014-12-30,2015-03-30,0.1,3350.0,3629.0,0.008328358208955224
66,GRASIM,2014-12-30,2015-03-30,0.1,682.0,715.01,0.004840175953079178
67,ACC,2014-12-30,2015-03-30,0.1,1399.2,1554.0,0.01106346483704974
68,AMBUJACEM,2014-12-30,2015-03-30,0.1,230.05,252.85,0.009910888937187562
69,INDUSINDBK,2014-12-30,2015-03-30,0.1,784.1,886.05,0.013002168090804735
70,HDFCBANK,2015-03-31,2015-06-29,0.1,519.95,522.45,0.00048081546302529085
71,MARUTI,2015-03-31,2015-06-29,0.1,3659.85,4020.0,0.009840567236362148
72,BAJAJ-AUTO,2015-03-31,2015-06-29,0.1,2035.0,2500.0,0.02285012285012285
73,ICICIBANK,2015-03-31,2015-06-29,0.1,318.9,302.0,-0.005299466917528999
74,POWERGRID,2015-03-31,2015-06-29,0.1,145.5,137.8,-0.005292096219931264
75,ACC,2015-03-31,2015-06-29,0.1,1590.2,1408.0,-0.011457678279461706
76,LT,2015-03-31,2015-06-29,0.1,1156.7,1164.6666666666667,0.0006887409584738219
77,GRASIM,2015-03-31,2015-06-29,0.1,726.4,676.99,-0.006802037444933917
78,RELIANCE,2015-03-31,2015-06-29,0.1,409.0,493.95,0.020770171149144253
79,AMBUJACEM,2015-03-31,2015-06-29,0.1,257.6,224.0,-0.013043478260869573
80,HDFCBANK,2015-06-30,2015-09-28,0.1,526.125,527.5,0.00026134473746733194
81,POWERGRID,2015-06-30,2015-09-28,0.1,139.5,126.45,-0.009354838709677417
82,MARUTI,2015-06-30,2015-09-28,0.1,3985.25,4570.0,0.01467285615707923
83,TCS,2015-06-30,2015-09-28,0.1,1292.5,1297.0,0.0003481624758220503
84,GRASIM,2015-06-30,2015-09-28,0.1,674.45,687.0,0.001860775446660235
85,LT,2015-06-30,2015-09-28,0.1,1190.3999999999999,976.0,-0.018010752688172035
