,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,GRASIM,2013-02-01,2013-05-02,0.13698630136986298,600.01,584.0,-0.0036551902217154797
1,SBIN,2013-02-01,2013-05-02,0.1287671232876712,243.1,227.5,-0.008263130906160716
2,HDFCBANK,2013-02-01,2013-05-02,0.12054794520547944,322.4,342.2,0.007403378768822873
3,LUPIN,2013-02-01,2013-05-02,0.11232876712328767,607.0,700.1,0.01722867910902485
4,COALINDIA,2013-02-01,2013-05-02,0.10410958904109589,352.25,321.0,-0.009236123939061026
5,ICICIBANK,2013-02-01,2013-05-02,0.09589041095890412,238.8,232.04000000000002,-0.002714485670360934
6,NMDC,2013-02-01,2013-05-02,0.08767123287671234,155.0,125.75,-0.016544410075121523
7,POWERGRID,2013-02-01,2013-05-02,0.07945205479452057,82.81954887218045,83.68421052631578,0.0008295039765201819
8,DRREDDY,2013-02-01,2013-05-02,0.0712328767123288,1922.0,2023.1,0.003746953088249966
9,ASIANPAINT,2013-02-01,2013-05-02,0.06301369863013702,453.8,467.0,0.001832923803256518
10,ACC,2013-05-03,2013-07-31,0.13698630136986298,1260.0,1171.05,-0.009670580560991522
11,TATAPOWER,2013-05-03,2013-07-31,0.1287671232876712,94.1,85.9,-0.011220939542602577
12,POWERGRID,2013-05-03,2013-07-31,0.12054794520547944,85.6390977443609,78.27067669172932,-0.010371991773605777
13,ICICIBANK,2013-05-03,2013-07-31,0.11232876712328767,233.53000000000003,185.0,-0.023343103963058935
14,HDFCBANK,2013-05-03,2013-07-31,0.10410958904109589,346.3,310.5,-0.010762700801822796
15,ASIANPAINT,2013-05-03,2013-07-31,0.09589041095890412,472.8,512.0,0.007950304800315229
16,KOTAKBANK,2013-05-03,2013-07-31,0.08767123287671234,357.95,324.0,-0.008315234966236578
17,BANKBARODA,2013-05-03,2013-07-31,0.07945205479452057,141.6,110.0,-0.017730825787477752
18,NTPC,2013-05-03,2013-07-31,0.0712328767123288,159.6,136.05,-0.010510866206612417
19,CIPLA,2013-05-03,2013-07-31,0.06301369863013702,410.95,405.05,-0.0009046862682024747
20,GRASIM,2013-08-01,2013-10-29,0.13698630136986298,526.6,536.8,0.002653361705227104
21,CIPLA,2013-08-01,2013-10-29,0.1287671232876712,401.85,411.65,0.0031402707682447978
