,Weight,Open_x,Open_y,Returns,Buy Date,Sell Date
127,0.05,195.5,254.5,0.015089514066496165,367,456
299,0.05,343.25,322.0,-0.003095411507647487,367,456
1507,0.05,206.03333333333333,203.23333333333335,-0.0006795016987542428,367,456
1516,0.05,426.0,396.0,-0.0035211267605633804,367,456
1654,0.05,118.5,161.25,0.018037974683544306,367,456
2086,0.05,101.765,104.47,0.0013290424016115553,367,456
1525,0.05,365.62,361.2,-0.0006044527104644189,367,456
949,0.05,389.2375,327.775,-0.00789524390635538,367,456
3699,0.05,4983.05,5965.0,0.009852901335527436,367,456
970,0.05,19366.0,21810.7,0.006311835175049057,367,456
197,0.05,78.60000000000001,70.71666666666667,-0.005014843087362175,367,456
184,0.05,164.525,214.275,0.015119282783771464,367,456
85,0.05,105.0,160.5,0.026428571428571433,367,456
1044,0.05,371.5,405.5,0.004576043068640646,367,456
63,0.05,338.0,396.0,0.008579881656804735,367,456
260,0.05,464.6,504.0,0.004240206629358585,367,456
556,0.05,630.0,705.0,0.005952380952380952,367,456
1376,0.05,663.0,772.85,0.008284313725490199,367,456
1604,0.05,132.0,123.66666666666667,-0.003156565656565655,367,456
867,0.05,711.5,848.7333333333332,0.009643944717732483,367,456
127,0.05,269.5,372.4,0.01909090909090909,457,546
85,0.05,162.8,196.65,0.010396191646191644,457,546
1654,0.05,159.15,219.0,0.01880301602262017,457,546
1507,0.05,202.53333333333333,254.26666666666665,0.012771560236998021,457,546
510,0.05,85.8,119.0,0.01934731934731935,457,546
1002,0.05,602.0,684.0,0.006810631229235881,457,546
2086,0.05,103.00999999999999,123.025,0.009715076206193581,457,546
765,0.05,1569.95,1480.0,-0.0028647409153157756,457,546
230,0.05,205.4,211.0,0.0013631937682570582,457,546
184,0.05,209.975,307.5,0.023223002738421244,457,546
1128,0.05,519.975,555.0,0.0033679503822299124,457,546
10,0.05,852.2,1107.8,0.014996479699601026,457,546
40,0.05,547.0,797.0,0.022851919561243144,457,546
965,0.05,77.62962962962963,94.81481481481482,0.01106870229007634,457,546
3699,0.05,6070.0,7849.65,0.014659390444810542,457,546
197,0.05,71.69166666666666,87.81666666666666,0.011246076949901198,457,546
1100,0.05,6400.0,7345.0,0.0073828125,457,546
867,0.05,860.0,1116.6666666666667,0.014922480620155044,457,546
296,0.05,587.0,639.0,0.004429301533219762,457,546
215,0.05,148.58333333333334,189.1,0.013634324172742561,457,546
694,0.05,239.6,232.0,-0.0015859766277128537,548,637
656,0.05,120.4,113.8,-0.002740863787375419,548,637
1131,0.05,154.25,121.65,-0.010567260940032415,548,637
1596,0.05,237.2,202.2,-0.007377740303541316,548,637
562,0.05,103.5,82.0,-0.01038647342995169,548,637
1240,0.05,660.9,472.5,-0.014253290966863369,548,637
1494,0.05,174.8,112.85,-0.017720251716247144,548,637
234,0.05,465.95,361.0,-0.0112619379761777,548,637
1248,0.05,780.1,592.35,-0.012033713626458147,548,637
740,0.05,124.5,83.55,-0.016445783132530124,548,637
257,0.05,246.4,220.4,-0.005275974025974026,548,637
71,0.05,101.7,68.45,-0.016347099311701082,548,637
689,0.05,81.6,57.9,-0.01452205882352941,548,637
1229,0.05,179.8,127.475,-0.014550889877641828,548,637
1654,0.05,220.85,239.2,0.004154403441249716,548,637
1089,0.05,332.95,244.4,-0.013297792461330529,548,637
612,0.05,99.25,73.0,-0.01322418136020151,548,637
613,0.05,387.95,408.0,0.0025840958886454457,548,637
658,0.05,180.6,152.65,-0.007738095238095236,548,637
83,0.05,417.7,426.1,0.0010055063442662238,639,728
184,0.05,409.175,459.95,0.006204557951976535,639,728
184,0.05,409.175,459.95,0.006204557951976535,639,728
242,0.05,1505.0,1440.0,-0.002159468438538206,639,728
271,0.05,626.8,623.25,-0.000283184428844923,639,728
274,0.05,341.8,378.4,0.005354008191925097,639,728
389,0.05,346.05,386.45,0.005837306747579827,639,728
510,0.05,169.0,176.7,0.0022781065088757365,639,728
613,0.05,399.0,445.0,0.005764411027568923,639,728
655,0.05,97.0,120.5,0.01211340206185567,639,728
694,0.05,231.1,247.9,0.0036347901341410673,639,728
949,0.05,585.075,607.5,0.0019164209716702948,639,728
1089,0.05,229.55,341.35,0.024351993029840997,639,728
1213,0.05,322.0,333.0,0.0017080745341614908,639,728
1240,0.05,455.5,502.65,0.005175631174533478,639,728
1577,0.05,229.9,265.9,0.007829491083079594,639,728
1660,0.05,855.0,775.0,-0.004678362573099415,639,728
2552,0.05,132.2,117.99000000000001,-0.005374432677760961,639,728
3068,0.05,684.0,871.0,0.013669590643274854,639,728
3699,0.05,12190.0,15248.0,0.012543068088597212,639,728
1660,0.05,743.05,804.0,0.004101339075432343,730,819
1089,0.05,340.0,210.3,-0.019073529411764704,730,819
613,0.05,460.9,549.85,0.00964959861141246,730,819
655,0.05,123.5,111.0,-0.005060728744939271,730,819
1213,0.05,337.9,280.8,-0.008449245338857646,730,819
3699,0.05,15199.3,15599.0,0.001314863184488762,730,819
3068,0.05,897.0,1086.5,0.01056298773690078,730,819
63,0.05,814.95,815.0,3.0676728633630606e-06,730,819
1100,0.05,11453.05,14296.95,0.012415470114947555,730,819
1557,0.05,1100.0,1132.1,0.0014590909090909051,730,819
244,0.05,247.7,232.975,-0.0029723455793298336,730,819
2242,0.05,93.6,105.66666666666667,0.006445868945868953,730,819
127,0.05,563.05,607.5,0.003947251576236573,730,819
214,0.05,19590.0,25538.0,0.015181214905564065,730,819
970,0.05,37923.8,37965.0,5.431945110985329e-05,730,819
1444,0.05,914.9,1127.7,0.011629686304514159,730,819
1678,0.05,994.05,1849.0,0.043003370051808265,730,819
147,0.05,345.9,399.9,0.007805724197745014,730,819
656,0.05,85.6,86.1,0.00029205607476635517,730,819
310,0.05,120.6,108.8,-0.004892205638474294,730,819
1678,0.05,1856.65,1376.0,-0.012944012064740261,821,910
1376,0.05,1397.1,1355.0,-0.0015066924343282483,821,910
214,0.05,25488.0,21492.0,-0.007838983050847457,821,910
1008,0.05,109.8,76.6,-0.015118397085610202,821,910
184,0.05,632.525,532.75,-0.007887040037943164,821,910
1100,0.05,13702.0,15000.0,0.0047365348124361415,821,910
2242,0.05,111.83333333333333,112.87833333333333,0.00046721311475409914,821,910
3068,0.05,1077.75,1364.35,0.01329621897471584,821,910
872,0.05,2008.0,1821.4,-0.00464641434262948,821,910
389,0.05,496.5,566.9,0.007089627391742194,821,910
2947,0.05,729.8,650.0,-0.005467251301726498,821,910
1444,0.05,1174.0,1110.0,-0.0027257240204429305,821,910
510,0.05,242.65,213.8,-0.0059447764269524,821,910
147,0.05,415.8,523.005,0.012891414141414141,821,910
18,0.05,104.9655172413793,92.9,-0.005747371879106434,821,910
562,0.05,101.0,88.4,-0.006237623762376235,821,910
757,0.05,119.45,101.05,-0.0077019673503558005,821,910
40,0.05,1268.0,980.0,-0.011356466876971609,821,910
