,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,BOSCHLTD,2014-01-02,2014-01-31,0.1,10010.0,8935.0,-0.01073926073926074
1,GRASIM,2014-01-02,2014-01-31,0.1,543.01,517.79,-0.004644481685420163
2,RELIANCE,2014-01-02,2014-01-31,0.1,221.93,206.75,-0.006839994592889653
3,HDFCBANK,2014-01-02,2014-01-31,0.1,332.5,315.0,-0.005263157894736842
4,TATACHEM,2014-01-02,2014-01-31,0.1,275.0,255.0,-0.007272727272727273
5,DRREDDY,2014-01-02,2014-01-31,0.1,505.12,523.6,0.0036585365853658573
6,ITC,2014-01-02,2014-01-31,0.1,214.9,216.6,0.0007910656119125122
7,ACC,2014-01-02,2014-01-31,0.1,1110.1,989.9,-0.010827853346545352
8,CIPLA,2014-01-02,2014-01-31,0.1,402.0,415.0,0.0032338308457711446
9,BAJAJ-AUTO,2014-01-02,2014-01-31,0.1,1918.0,1915.0,-0.0001564129301355579
10,BOSCHLTD,2014-02-03,2014-03-03,0.1,8955.0,9490.0,0.005974316024567281
11,RELIANCE,2014-02-03,2014-03-03,0.1,206.55,200.03,-0.003156620672960547
12,HDFCBANK,2014-02-03,2014-03-03,0.1,314.975,332.6,0.005595682196999762
13,GRASIM,2014-02-03,2014-03-03,0.1,510.0,510.0,0.0
14,TATACHEM,2014-02-03,2014-03-03,0.1,262.6,267.5,0.0018659558263518573
15,ITC,2014-02-03,2014-03-03,0.1,215.1,218.533333333333,0.0015961568262821927
16,DRREDDY,2014-02-03,2014-03-03,0.1,521.0,575.6,0.010479846449136281
17,ACC,2014-02-03,2014-03-03,0.1,1004.05,1103.1,0.00986504656142622
18,CIPLA,2014-02-03,2014-03-03,0.1,408.5,386.0,-0.0055079559363525096
19,BAJAJ-AUTO,2014-02-03,2014-03-03,0.1,1901.05,1942.0,0.002154072749270143
20,HDFCBANK,2014-03-05,2014-04-03,0.1,336.75,368.0,0.009279881217520415
21,BOSCHLTD,2014-03-05,2014-04-03,0.1,9334.95,10765.0,0.01531931076224296
22,RELIANCE,2014-03-05,2014-04-03,0.1,203.89,239.2,0.017318161753886903
23,GRASIM,2014-03-05,2014-04-03,0.1,518.0,569.58,0.009957528957528966
24,TATACHEM,2014-03-05,2014-04-03,0.1,289.8,290.8,0.0003450655624568668
25,ITC,2014-03-05,2014-04-03,0.1,221.166666666667,229.733333333333,0.0038733986435565923
26,ACC,2014-03-05,2014-04-03,0.1,1136.1,1369.8,0.020570372326379725
27,DRREDDY,2014-03-05,2014-04-03,0.1,565.0,532.0,-0.0058407079646017705
28,VIDEOIND,2014-03-05,2014-04-03,0.1,163.0,163.9,0.0005521472392638072
29,BAJAJ-AUTO,2014-03-05,2014-04-03,0.1,1930.0,2065.0,0.006994818652849741
30,HDFCBANK,2014-04-04,2014-05-05,0.1,362.775,359.925,-0.0007856109158569268
31,RELIANCE,2014-04-04,2014-05-05,0.1,238.0,231.25,-0.002836134453781513
32,GRASIM,2014-04-04,2014-05-05,0.1,561.6,522.24,-0.007008547008547012
33,BOSCHLTD,2014-04-04,2014-05-05,0.1,10632.4,10360.0,-0.0025619803619126415
34,BAJAJ-AUTO,2014-04-04,2014-05-05,0.1,2054.9,1910.0,-0.007051438026181327
35,ITC,2014-04-04,2014-05-05,0.1,231.266666666667,227.0,-0.0018449120784089018
36,TATACHEM,2014-04-04,2014-05-05,0.1,283.0,284.0,0.000353356890459364
37,CIPLA,2014-04-04,2014-05-05,0.1,398.0,402.05,0.0010175879396984954
38,HDFC,2014-04-04,2014-05-05,0.1,902.0,910.0,0.0008869179600886918
39,ACC,2014-04-04,2014-05-05,0.1,1351.0,1285.75,-0.004829755736491488
40,RELIANCE,2014-05-06,2014-06-04,0.1,236.97,273.16,0.015271975355530248
41,HDFCBANK,2014-05-06,2014-06-04,0.1,360.1,411.2,0.014190502638156058
42,BAJAJ-AUTO,2014-05-06,2014-06-04,0.1,1919.95,1970.15,0.0026146514232141486
43,GRASIM,2014-05-06,2014-06-04,0.1,529.24,665.6,0.025765248280553252
44,ITC,2014-05-06,2014-06-04,0.1,230.666666666667,221.666666666667,-0.0039017341040462374
45,BOSCHLTD,2014-05-06,2014-06-04,0.1,10499.7,12300.0,0.0171462041772622
46,COLPAL,2014-05-06,2014-06-04,0.1,720.0,697.55,-0.003118055555555562
47,HDFC,2014-05-06,2014-06-04,0.1,892.0,918.0,0.002914798206278027
48,HINDUNILVR,2014-05-06,2014-06-04,0.1,559.0,594.95,0.0064311270125223695
49,OFSS,2014-05-06,2014-06-04,0.1,3020.0,2829.0,-0.006324503311258278
50,RELIANCE,2014-06-04,2014-07-03,0.1,273.16,255.0,-0.006648118318933967
51,OFSS,2014-06-04,2014-07-03,0.1,2829.0,3350.0,0.0184164015553199
52,CRISIL,2014-06-04,2014-07-03,0.1,1430.1,1735.0,0.021320187399482562
53,HDFCBANK,2014-06-04,2014-07-03,0.1,411.2,420.5,0.0022616731517509756
54,BAJAJ-AUTO,2014-06-04,2014-07-03,0.1,1970.15,2319.0,0.017706773595919087
55,GRASIM,2014-06-04,2014-07-03,0.1,665.6,689.0,0.003515624999999996
56,COLPAL,2014-06-04,2014-07-03,0.1,697.55,805.5,0.015475593147444636
57,ITC,2014-06-04,2014-07-03,0.1,221.666666666667,219.666666666667,-0.0009022556390977431
58,CIPLA,2014-06-04,2014-07-03,0.1,387.35,445.0,0.014883180586033298
59,HDFC,2014-06-04,2014-07-03,0.1,918.0,1007.8,0.009782135076252719
60,RELIANCE,2014-07-04,2014-08-04,0.1,251.25,245.25,-0.0023880597014925378
61,OFSS,2014-07-04,2014-08-04,0.1,3225.0,3300.0,0.002325581395348837
62,HDFCBANK,2014-07-04,2014-08-04,0.1,418.4,409.5,-0.002127151051625234
63,BAJAJ-AUTO,2014-07-04,2014-08-04,0.1,2300.1,2065.0,-0.010221294726316244
64,COLPAL,2014-07-04,2014-08-04,0.1,803.5,774.05,-0.00366521468574985
65,HDFC,2014-07-04,2014-08-04,0.1,999.7,1040.15,0.004046213864159252
66,CIPLA,2014-07-04,2014-08-04,0.1,448.9,444.0,-0.0010915571396747556
67,ITC,2014-07-04,2014-08-04,0.1,221.466666666667,236.0,0.006562311860324941
68,LT,2014-07-04,2014-08-04,0.1,1174.66666666667,984.066666666667,-0.01622587968217955
69,ICICIBANK,2014-07-04,2014-08-04,0.1,291.04,298.42,0.002535733919736117
70,RELIANCE,2014-08-05,2014-09-03,0.1,246.28,256.29,0.00406447945427969
71,OFSS,2014-08-05,2014-09-03,0.1,3395.0,3648.0,0.007452135493372607
72,HDFCBANK,2014-08-05,2014-09-03,0.1,408.5,432.5,0.0058751529987760105
73,BAJAJ-AUTO,2014-08-05,2014-09-03,0.1,2095.0,2265.1,0.008119331742243432
74,COLPAL,2014-08-05,2014-09-03,0.1,779.45,775.0,-0.0005709153890563918
75,ITC,2014-08-05,2014-09-03,0.1,237.333333333333,236.866666666667,-0.00019662921348287174
76,POWERGRID,2014-08-05,2014-09-03,0.1,75.19,75.27,0.00010639712727756124
77,CIPLA,2014-08-05,2014-09-03,0.1,442.55,559.9,0.02651677776522426
78,HDFC,2014-08-05,2014-09-03,0.1,1027.2,1069.85,0.004152063862928336
79,HINDUNILVR,2014-08-05,2014-09-03,0.1,699.0,733.5,0.004935622317596567
80,RELIANCE,2014-09-03,2014-10-07,0.1,256.29,231.81,-0.009551679737797034
81,HDFCBANK,2014-09-03,2014-10-07,0.1,432.5,432.5,0.0
82,OFSS,2014-09-03,2014-10-07,0.1,3648.0,3480.0,-0.004605263157894737
83,BAJAJ-AUTO,2014-09-03,2014-10-07,0.1,2265.1,2314.0,0.0021588450841022516
84,COLPAL,2014-09-03,2014-10-07,0.1,775.0,864.05,0.011490322580645156
85,HDFC,2014-09-03,2014-10-07,0.1,1069.85,1045.0,-0.002322755526475666
86,ITC,2014-09-03,2014-10-07,0.1,236.866666666667,241.8,0.002082746974387708
87,POWERGRID,2014-09-03,2014-10-07,0.1,75.27,76.86,0.002112395376644086
88,LUPIN,2014-09-03,2014-10-07,0.1,1308.0,1381.15,0.005592507645259946
89,ICICIBANK,2014-09-03,2014-10-07,0.1,319.8,283.0,-0.011507191994996877
90,RELIANCE,2014-10-08,2014-11-07,0.1,230.29,247.61,0.007520951843327988
91,HDFCBANK,2014-10-08,2014-11-07,0.1,430.275,452.5,0.005165301260821573
92,ICICIBANK,2014-10-08,2014-11-07,0.1,285.52,335.7,0.01757495096665733
93,ITC,2014-10-08,2014-11-07,0.1,242.0,238.9,-0.0012809917355371878
94,BAJAJ-AUTO,2014-10-08,2014-11-07,0.1,2332.0,2575.0,0.01042024013722127
95,HINDUNILVR,2014-10-08,2014-11-07,0.1,732.05,750.0,0.0024520183047606102
96,HDFC,2014-10-08,2014-11-07,0.1,1016.1,1101.0,0.008355476823147327
97,COLPAL,2014-10-08,2014-11-07,0.1,869.825,864.0,-0.0006696749346132895
98,POWERGRID,2014-10-08,2014-11-07,0.1,77.45,80.33,0.0037185280826339514
99,KOTAKBANK,2014-10-08,2014-11-07,0.1,503.5,568.9,0.01298907646474677
100,RELIANCE,2014-11-05,2014-12-03,0.1,250.5,239.64,-0.004335329341317371
101,HDFCBANK,2014-11-05,2014-12-03,0.1,457.525,471.0,0.0029451942516802413
102,ITC,2014-11-05,2014-12-03,0.1,237.133333333333,244.0,0.002895698622434775
103,ICICIBANK,2014-11-05,2014-12-03,0.1,331.1,353.02,0.006620356387798236
104,COLPAL,2014-11-05,2014-12-03,0.1,851.0,953.5,0.012044653349001176
105,AXISBANK,2014-11-05,2014-12-03,0.1,445.25,494.0,0.010948905109489052
106,BAJAJ-AUTO,2014-11-05,2014-12-03,0.1,2594.0,2620.0,0.0010023130300693909
107,POWERGRID,2014-11-05,2014-12-03,0.1,81.8,78.01,-0.004633251833740822
108,SBIN,2014-11-05,2014-12-03,0.1,273.3,319.65,0.016959385290889122
109,HDFC,2014-11-05,2014-12-03,0.1,1125.75,1122.5,-0.00028869642460581835
110,HDFCBANK,2014-12-04,2015-01-02,0.1,470.0,475.2,0.001106382978723402
111,RELIANCE,2014-12-04,2015-01-02,0.1,242.03,222.03,-0.0082634384167252
112,ICICIBANK,2014-12-04,2015-01-02,0.1,362.5,352.0,-0.0028965517241379313
113,ITC,2014-12-04,2015-01-02,0.1,248.7,244.833333333333,-0.00155475137381061
114,ACC,2014-12-04,2015-01-02,0.1,1482.0,1406.4,-0.005101214574898779
115,BAJAJ-AUTO,2014-12-04,2015-01-02,0.1,2609.6,2457.0,-0.005847639484978537
116,AXISBANK,2014-12-04,2015-01-02,0.1,501.4,503.2,0.00035899481451934814
117,POWERGRID,2014-12-04,2015-01-02,0.1,77.51,77.53,2.580312217777838e-05
118,HDFC,2014-12-04,2015-01-02,0.1,1110.0,1127.3,0.0015585585585585545
119,HINDUNILVR,2014-12-04,2015-01-02,0.1,816.5,757.0,-0.007287201469687692
120,HDFCBANK,2015-01-05,2015-02-02,0.1,485.0,534.25,0.010154639175257734
121,RELIANCE,2015-01-05,2015-02-02,0.1,221.25,229.01,0.0035073446327683576
122,ICICIBANK,2015-01-05,2015-02-02,0.1,365.3,360.3,-0.001368738023542294
123,BAJAJ-AUTO,2015-01-05,2015-02-02,0.1,2452.0,2390.0,-0.0025285481239804243
124,ACC,2015-01-05,2015-02-02,0.1,1425.0,1554.9,0.009115789473684218
125,AXISBANK,2015-01-05,2015-02-02,0.1,516.9,586.0,0.013368156316502232
126,GLAXO,2015-01-05,2015-02-02,0.1,1567.5,1695.55,0.008169059011164272
127,POWERGRID,2015-01-05,2015-02-02,0.1,78.3,83.24,0.006309067688378031
128,LT,2015-01-05,2015-02-02,0.1,1030.23333333333,1130.66666666667,0.00974860064063225
129,ITC,2015-01-05,2015-02-02,0.1,245.8,244.666666666667,-0.00046107946840236494
130,HDFCBANK,2015-02-04,2015-03-05,0.1,531.5,532.5,0.00018814675446848542
131,RELIANCE,2015-02-04,2015-03-05,0.1,234.78,223.13,-0.0049620921713945
132,ICICIBANK,2015-02-04,2015-03-05,0.1,346.05,346.4,0.0001011414535471654
133,LT,2015-02-04,2015-03-05,0.1,1153.03333333333,1228.16666666667,0.00651614581827703
