,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,HINDUNILVR,2014-07-01,2015-06-30,0.05,622.0,907.0,0.022909967845659164
1,TCS,2014-07-01,2015-06-30,0.05,1209.45,1292.5,0.003433378808549339
2,BAJAJ-AUTO,2014-07-01,2015-06-30,0.05,2314.95,2552.45,0.005129700425495151
3,EMAMILTD,2014-07-01,2015-06-30,0.05,260.0,561.0,0.05788461538461539
4,HEROMOTOCO,2014-07-01,2015-06-30,0.05,2625.1,2542.0,-0.0015827968458344429
5,MINDTREE,2014-07-01,2015-06-30,0.05,445.0,630.525,0.020845505617977527
6,ITC,2014-07-01,2015-06-30,0.05,218.4,206.79999999999998,-0.002655677655677661
7,BRITANNIA,2014-07-01,2015-06-30,0.05,505.0,1352.5,0.08391089108910892
8,PERSISTENT,2014-07-01,2015-06-30,0.05,542.0,580.9,0.0035885608856088542
9,HCLTECH,2014-07-01,2015-06-30,0.05,747.5,927.55,0.012043478260869562
10,DIVISLAB,2014-07-01,2015-06-30,0.05,734.9,922.0,0.012729623077969794
11,COALINDIA,2014-07-01,2015-06-30,0.05,388.7,409.8,0.0027141754566503765
12,ASIANPAINT,2014-07-01,2015-06-30,0.05,593.3,737.0,0.012110230911848985
13,AMARAJABAT,2014-07-01,2015-06-30,0.05,470.15,866.5,0.04215144102945869
14,DABUR,2014-07-01,2015-06-30,0.05,187.9,278.3,0.02405534858967536
15,PIDILITIND,2014-07-01,2015-06-30,0.05,328.95,548.5,0.033371333029335766
16,TECHM,2014-07-01,2015-06-30,0.05,430.0,475.0,0.005232558139534884
17,IGL,2014-07-01,2015-06-30,0.05,72.2,85.78,0.009404432132963988
18,ZEEL,2014-07-01,2015-06-30,0.05,294.15,354.6,0.010275369709331983
19,AIAENG,2014-07-01,2015-06-30,0.05,777.0,965.05,0.012101029601029599
20,HINDUNILVR,2015-07-01,2016-06-29,0.05,916.7,889.9,-0.0014617650267263046
21,TCS,2015-07-01,2016-06-29,0.05,1281.95,1237.5,-0.001733686961269942
22,MINDTREE,2015-07-01,2016-06-29,0.05,640.5,664.95,0.0019086651053864207
23,EMAMILTD,2015-07-01,2016-06-29,0.05,583.85,550.0,-0.002898861008820761
24,ITC,2015-07-01,2016-06-29,0.05,210.16666666666666,246.63333333333333,0.008675654242664553
25,HEROMOTOCO,2015-07-01,2016-06-29,0.05,2525.1,3034.95,0.010095639776642507
26,KSCL,2015-07-01,2016-06-29,0.05,740.0,446.0,-0.019864864864864867
27,DIVISLAB,2015-07-01,2016-06-29,0.05,943.0,1112.0,0.008960763520678686
28,BRITANNIA,2015-07-01,2016-06-29,0.05,1380.0,1374.9,-0.00018478260869564888
29,PERSISTENT,2015-07-01,2016-06-29,0.05,605.6,708.0,0.008454425363276088
30,BAJAJ-AUTO,2015-07-01,2016-06-29,0.05,2541.95,2647.8,0.00208206298314287
31,HCLTECH,2015-07-01,2016-06-29,0.05,917.25,715.7,-0.010986644862360315
32,PAGEIND,2015-07-01,2016-06-29,0.05,15190.0,13796.6,-0.0045865701119157335
33,MARICO,2015-07-01,2016-06-29,0.05,226.45,257.35,0.006822698167365872
34,AMARAJABAT,2015-07-01,2016-06-29,0.05,883.9,872.35,-0.0006533544518610677
35,PIDILITIND,2015-07-01,2016-06-29,0.05,551.0,710.0,0.01442831215970962
36,ZEEL,2015-07-01,2016-06-29,0.05,367.9,443.35,0.01025414514813809
37,COALINDIA,2015-07-01,2016-06-29,0.05,422.55,314.2,-0.012820967932789022
38,IGL,2015-07-01,2016-06-29,0.05,87.2,123.15,0.020613532110091745
39,ASIANPAINT,2015-07-01,2016-06-29,0.05,757.45,978.25,0.014575219486434747
40,HINDUNILVR,2016-06-30,2017-06-29,0.05,891.0,1094.65,0.011428170594837266
