,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,NCC,2015-06-30,2016-06-28,0.05,77.45,72.15,-0.0034215622982569378
1,HINDPETRO,2015-06-30,2016-06-28,0.05,162.22222222222223,217.33333333333334,0.016986301369863014
2,IOC,2015-06-30,2016-06-28,0.05,96.375,106.275,0.005136186770428019
3,HINDALCO,2015-06-30,2016-06-28,0.05,112.9,119.9,0.003100088573959256
4,BANKINDIA,2015-06-30,2016-06-28,0.05,169.0,99.05,-0.02069526627218935
5,UCOBANK,2015-06-30,2016-06-28,0.05,53.1,39.75,-0.012570621468926554
6,TORNTPOWER,2015-06-30,2016-06-28,0.05,139.2,175.0,0.012859195402298856
7,BHARTIARTL,2015-06-30,2016-06-28,0.05,417.55,352.35,-0.007807448209795233
8,FEDERALBNK,2015-06-30,2016-06-28,0.05,74.275,55.9,-0.012369572534500172
9,BANKBARODA,2015-06-30,2016-06-28,0.05,143.15,152.45,0.0032483409011526314
10,CESC,2015-06-30,2016-06-28,0.05,552.8,575.0,0.0020079594790159234
11,JSWSTEEL,2015-06-30,2016-06-28,0.05,87.0,138.78,0.029758620689655176
12,BPCL,2015-06-30,2016-06-28,0.05,293.5,347.26666666666665,0.009159568427030093
13,MOTHERSUMI,2015-06-30,2016-06-28,0.05,149.36296296296297,121.28888888888888,-0.009397936917278324
14,DLF,2015-06-30,2016-06-28,0.05,116.05,134.5,0.007949159844894443
15,RAYMOND,2015-06-30,2016-06-28,0.05,450.7,464.2,0.001497670290658975
16,IRB,2015-06-30,2016-06-28,0.05,228.6,204.95,-0.005172790901137359
17,IDEA,2015-06-30,2016-06-28,0.05,170.05,101.35,-0.020199941193766544
18,UBL,2015-06-30,2016-06-28,0.05,879.0,729.9,-0.008481228668941982
19,JKLAKSHMI,2015-06-30,2016-06-28,0.05,342.05,385.0,0.0062783218827656756
20,RELINFRA,2016-06-29,2017-06-28,0.05,525.8,503.1,-0.0021586154431342654
21,DLF,2016-06-29,2017-06-28,0.05,140.7,185.4,0.015884861407249474
22,IPCALAB,2016-06-29,2017-06-28,0.05,492.0,479.0,-0.0013211382113821138
23,HINDCOPPER,2016-06-29,2017-06-28,0.05,54.0,62.7,0.008055555555555559
24,RPOWER,2016-06-29,2017-06-28,0.05,50.1,40.65,-0.009431137724550901
25,ADANIENT,2016-06-29,2017-06-28,0.05,82.25,132.3,0.03042553191489363
26,BHARTIARTL,2016-06-29,2017-06-28,0.05,358.5,374.9,0.00228730822873082
27,CESC,2016-06-29,2017-06-28,0.05,587.0,855.0,0.022827938671209542
28,IDEA,2016-06-29,2017-06-28,0.05,105.75,81.75,-0.011347517730496456
29,PETRONET,2016-06-29,2017-06-28,0.05,142.75,215.45,0.025464098073555166
30,IRB,2016-06-29,2017-06-28,0.05,206.4,207.4,0.00024224806201550387
31,ONGC,2016-06-29,2017-06-28,0.05,141.83333333333334,161.05,0.006774383078730905
32,TATAMOTORS,2016-06-29,2017-06-28,0.05,447.1,443.9,-0.00035786177588906795
33,TORNTPOWER,2016-06-29,2017-06-28,0.05,175.5,174.0,-0.0004273504273504274
34,SRF,2016-06-29,2017-06-28,0.05,1283.0,1536.0,0.009859703819173811
35,APOLLOHOSP,2016-06-29,2017-06-28,0.05,1325.0,1279.0,-0.0017358490566037738
36,POWERGRID,2016-06-29,2017-06-28,0.05,155.8,206.0,0.016110397946084723
37,JSWENERGY,2016-06-29,2017-06-28,0.05,80.8,63.1,-0.0109529702970297
38,GRASIM,2016-06-29,2017-06-28,0.05,892.51,1212.5,0.017926409788125625
39,ICICIBANK,2016-06-29,2017-06-28,0.05,235.9,288.75,0.011201780415430266
40,SBIN,2017-06-29,2018-06-28,0.05,277.15,260.4,-0.003021829334295508
41,PNB,2017-06-29,2018-06-28,0.05,138.0,76.75,-0.022192028985507248
42,TV18BRDCST,2017-06-29,2018-06-28,0.05,35.7,55.15,0.02724089635854341
43,BANKBARODA,2017-06-29,2018-06-28,0.05,156.6,114.25,-0.01352171136653895
44,CENTURYTEX,2017-06-29,2018-06-28,0.05,444.08000000000004,352.4,-0.010322464420825083
45,AXISBANK,2017-06-29,2018-06-28,0.05,498.0,508.0,0.001004016064257028
46,TATAPOWER,2017-06-29,2018-06-28,0.05,82.1,71.4,-0.0065164433617539525
47,RBLBANK,2017-06-29,2018-06-28,0.05,506.95,547.95,0.004043791300917256
48,BHARTIARTL,2017-06-29,2018-06-28,0.05,377.75,373.7,-0.000536068828590339
49,HINDALCO,2017-06-29,2018-06-28,0.05,192.0,218.0,0.0067708333333333336
50,JSWENERGY,2017-06-29,2018-06-28,0.05,63.6,64.55,0.0007468553459119464
51,RELINFRA,2017-06-29,2018-06-28,0.05,505.0,395.0,-0.01089108910891089
52,TORNTPOWER,2017-06-29,2018-06-28,0.05,175.6,219.8,0.012585421412300688
53,ICICIBANK,2017-06-29,2018-06-28,0.05,291.5,278.0,-0.0023156089193825044
54,IRB,2017-06-29,2018-06-28,0.05,207.6,210.0,0.0005780346820809263
55,RPOWER,2017-06-29,2018-06-28,0.05,42.35,32.0,-0.012219598583234948
56,TATAMOTORS,2017-06-29,2018-06-28,0.05,444.5,272.0,-0.01940382452193476
57,INDUSINDBK,2017-06-29,2018-06-28,0.05,1495.05,1969.0,0.015850640446807802
58,FEDERALBNK,2017-06-29,2018-06-28,0.05,112.55,82.85,-0.013194135939582411
59,CESC,2017-06-29,2018-06-28,0.05,880.0,923.5,0.0024715909090909094
60,JSWENERGY,2018-06-29,2019-06-28,0.05,64.6,69.3,0.00363777089783282
61,BHARTIARTL,2018-06-29,2019-06-28,0.05,375.3,348.4,-0.003583799626965099
62,TV18BRDCST,2018-06-29,2019-06-28,0.05,52.8,24.5,-0.026799242424242427
63,AUBANK,2018-06-29,2019-06-28,0.05,670.0,691.0,0.0015671641791044776
64,RELINFRA,2018-06-29,2019-06-28,0.05,392.15,59.65,-0.04239449190360831
65,RPOWER,2018-06-29,2019-06-28,0.05,32.0,4.4,-0.043125000000000004
66,GODREJIND,2018-06-29,2019-06-28,0.05,595.55,493.35,-0.008580303920745524
67,APOLLOHOSP,2018-06-29,2019-06-28,0.05,1014.0,1324.9,0.015330374753451682
68,COALINDIA,2018-06-29,2019-06-28,0.05,259.0,259.45,8.687258687258469e-05
69,TORNTPOWER,2018-06-29,2019-06-28,0.05,226.15,286.3,0.013298695556046873
70,PRESTIGE,2018-06-29,2019-06-28,0.05,269.0,272.9,0.0007249070631970218
71,ICICIGI,2018-06-29,2019-06-28,0.05,692.6,1124.05,0.03114712676869766
72,POWERGRID,2018-06-29,2019-06-28,0.05,185.25,207.15,0.005910931174089071
73,TATAMOTORS,2018-06-29,2019-06-28,0.05,265.45,165.2,-0.018883028818986628
74,TATAPOWER,2018-06-29,2019-06-28,0.05,72.0,68.85,-0.002187500000000004
75,ONGC,2018-06-29,2019-06-28,0.05,155.15,170.3,0.00488237189816307
76,ICICIBANK,2018-06-29,2019-06-28,0.05,272.0,439.5,0.03079044117647059
77,APOLLOTYRE,2018-06-29,2019-06-28,0.05,254.5,203.45,-0.010029469548133598
78,IRB,2018-06-29,2019-06-28,0.05,204.0,97.0,-0.026225490196078435
