,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,REPCOHOME,2015-06-30,2016-06-28,0.05,651.0,776.25,0.009619815668202766
1,BAJFINANCE,2015-06-30,2016-06-28,0.05,540.6,776.495,0.02181788753237144
2,IBULHSGFIN,2015-06-30,2016-06-28,0.05,610.4,660.1,0.004071100917431197
3,EDELWEISS,2015-06-30,2016-06-28,0.05,58.85,73.5,0.012446898895497025
4,RECLTD,2015-06-30,2016-06-28,0.05,137.0,82.75,-0.019799270072992703
5,L&TFH,2015-06-30,2016-06-28,0.05,64.5,74.9,0.008062015503875974
6,TECHM,2015-06-30,2016-06-28,0.05,475.0,505.0,0.003157894736842105
7,ADANIPORTS,2015-06-30,2016-06-28,0.05,305.0,204.0,-0.01655737704918033
8,LICHSGFIN,2015-06-30,2016-06-28,0.05,451.4,483.9,0.003599911386796633
9,PFC,2015-06-30,2016-06-28,0.05,129.925,81.125,-0.01878006542235906
10,DCBBANK,2015-06-30,2016-06-28,0.05,131.0,96.6,-0.013129770992366415
11,HDFCBANK,2015-06-30,2016-06-28,0.05,526.125,580.625,0.005179377524352578
12,POWERGRID,2015-06-30,2016-06-28,0.05,139.5,154.55,0.005394265232974915
13,AUROPHARMA,2015-06-30,2016-06-28,0.05,701.25,727.5,0.0018716577540106951
14,YESBANK,2015-06-30,2016-06-28,0.05,167.8,216.58,0.014535160905840285
15,SUNPHARMA,2015-06-30,2016-06-28,0.05,854.65,774.0,-0.0047183057391914805
16,M&MFIN,2015-06-30,2016-06-28,0.05,272.5,314.6,0.00772477064220184
17,BANKINDIA,2015-06-30,2016-06-28,0.05,169.0,99.05,-0.02069526627218935
18,KSCL,2015-06-30,2016-06-28,0.05,751.0,443.6,-0.02046604527296937
19,VAKRANGEE,2015-06-30,2016-06-28,0.05,56.575,93.7,0.032810428634555903
20,BAJFINANCE,2016-06-29,2017-06-28,0.05,770.0,1341.0,0.03707792207792208
21,IBULHSGFIN,2016-06-29,2017-06-28,0.05,666.45,1080.0,0.031026333558406477
22,RPOWER,2016-06-29,2017-06-28,0.05,50.1,40.65,-0.009431137724550901
23,STAR,2016-06-29,2017-06-28,0.05,1105.0,926.4,-0.008081447963800906
24,TORNTPHARM,2016-06-29,2017-06-28,0.05,1348.0,1187.5,-0.00595326409495549
25,BAJAJFINSV,2016-06-29,2017-06-28,0.05,2205.4,4025.0,0.0412532873855083
26,INOXWIND,2016-06-29,2017-06-28,0.05,232.0,139.8,-0.01987068965517241
27,APLLTD,2016-06-29,2017-06-28,0.05,548.0,505.0,-0.003923357664233577
28,ADANIPORTS,2016-06-29,2017-06-28,0.05,204.0,368.4,0.04029411764705882
29,RECLTD,2016-06-29,2017-06-28,0.05,83.225,167.8,0.050811054370681896
30,POWERGRID,2016-06-29,2017-06-28,0.05,155.8,206.0,0.016110397946084723
31,HDFCBANK,2016-06-29,2017-06-28,0.05,582.5,832.5,0.02145922746781116
32,KOTAKBANK,2016-06-29,2017-06-28,0.05,745.0,983.75,0.016023489932885906
33,LICHSGFIN,2016-06-29,2017-06-28,0.05,500.0,741.25,0.024125
34,OBEROIRLTY,2016-06-29,2017-06-28,0.05,268.6,345.0,0.014221891288160829
35,L&TFH,2016-06-29,2017-06-28,0.05,77.95,136.1,0.03729955099422706
36,IRB,2016-06-29,2017-06-28,0.05,206.4,207.4,0.00024224806201550387
37,PFC,2016-06-29,2017-06-28,0.05,82.05,121.35,0.023948811700182815
38,INDUSINDBK,2016-06-29,2017-06-28,0.05,1090.0,1486.05,0.01816743119266055
39,DLF,2016-06-29,2017-06-28,0.05,140.7,185.4,0.015884861407249474
40,DHFL,2017-06-29,2018-06-28,0.05,428.75,640.0,0.024635568513119533
41,GSPL,2017-06-29,2018-06-28,0.05,172.55,181.25,0.0025210084033613412
