,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,LICHSGFIN,2015-06-30,2016-06-28,0.05,451.4,483.9,0.003599911386796633
1,PFC,2015-06-30,2016-06-28,0.05,129.925,81.125,-0.01878006542235906
2,RECLTD,2015-06-30,2016-06-28,0.05,137.0,82.75,-0.019799270072992703
3,REPCOHOME,2015-06-30,2016-06-28,0.05,651.0,776.25,0.009619815668202766
4,IBULHSGFIN,2015-06-30,2016-06-28,0.05,610.4,660.1,0.004071100917431197
5,GSPL,2015-06-30,2016-06-28,0.05,116.95,134.8,0.007631466438649
6,POWERGRID,2015-06-30,2016-06-28,0.05,139.5,154.55,0.005394265232974915
7,YESBANK,2015-06-30,2016-06-28,0.05,167.8,216.58,0.014535160905840285
8,FEDERALBNK,2015-06-30,2016-06-28,0.05,74.275,55.9,-0.012369572534500172
9,CANBK,2015-06-30,2016-06-28,0.05,280.1,216.7,-0.011317386647625853
10,KTKBANK,2015-06-30,2016-06-28,0.05,144.4,136.65,-0.002683518005540166
11,CUB,2015-06-30,2016-06-28,0.05,101.35,109.5,0.004020720276270353
12,L&TFH,2015-06-30,2016-06-28,0.05,64.5,74.9,0.008062015503875974
13,MUTHOOTFIN,2015-06-30,2016-06-28,0.05,188.0,284.35,0.02562500000000001
14,IFCI,2015-06-30,2016-06-28,0.05,25.4,26.3,0.001771653543307091
15,SOUTHBANK,2015-06-30,2016-06-28,0.05,23.25,19.9,-0.007204301075268821
16,KARURVYSYA,2015-06-30,2016-06-28,0.05,97.65,100.78,0.0016026625704045035
17,UNIONBANK,2015-06-30,2016-06-28,0.05,147.8,126.5,-0.007205683355886336
18,BANKBARODA,2015-06-30,2016-06-28,0.05,143.15,152.45,0.0032483409011526314
19,UCOBANK,2015-06-30,2016-06-28,0.05,53.1,39.75,-0.012570621468926554
20,LICHSGFIN,2016-06-29,2017-06-28,0.05,500.0,741.25,0.024125
21,RECLTD,2016-06-29,2017-06-28,0.05,83.225,167.8,0.050811054370681896
22,PFC,2016-06-29,2017-06-28,0.05,82.05,121.35,0.023948811700182815
23,POWERGRID,2016-06-29,2017-06-28,0.05,155.8,206.0,0.016110397946084723
24,IBULHSGFIN,2016-06-29,2017-06-28,0.05,666.45,1080.0,0.031026333558406477
25,GSPL,2016-06-29,2017-06-28,0.05,138.25,163.8,0.00924050632911393
26,YESBANK,2016-06-29,2017-06-28,0.05,215.0,282.88,0.015786046511627908
27,MUTHOOTFIN,2016-06-29,2017-06-28,0.05,281.15,436.0,0.02753868041970479
28,L&TFH,2016-06-29,2017-06-28,0.05,77.95,136.1,0.03729955099422706
29,KARURVYSYA,2016-06-29,2017-06-28,0.05,100.11,140.0,0.019923084606932377
30,INDIANB,2016-06-29,2017-06-28,0.05,143.4,270.0,0.04414225941422594
31,HDFCBANK,2016-06-29,2017-06-28,0.05,582.5,832.5,0.02145922746781116
32,UNIONBANK,2016-06-29,2017-06-28,0.05,128.2,141.0,0.004992199687987525
33,BAJFINANCE,2016-06-29,2017-06-28,0.05,770.0,1341.0,0.03707792207792208
34,FEDERALBNK,2016-06-29,2017-06-28,0.05,56.3,112.5,0.04991119005328598
35,SRTRANSFIN,2016-06-29,2017-06-28,0.05,1152.9,993.9,-0.006895654436638048
36,AXISBANK,2016-06-29,2017-06-28,0.05,518.5,493.8,-0.002381870781099324
