,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,BPCL,2015-06-30,2016-06-28,0.2,293.5,347.26666666666665,0.036638273708120374
1,TATAMOTORS,2015-06-30,2016-06-28,0.2,428.0,448.0,0.009345794392523364
2,PNB,2015-06-30,2016-06-28,0.2,137.0,104.9,-0.046861313868613134
3,BHARTIARTL,2015-06-30,2016-06-28,0.2,417.55,352.35,-0.031229792839180932
4,COALINDIA,2015-06-30,2016-06-28,0.2,409.8,310.75,-0.04834065397755003
5,ICICIBANK,2016-06-29,2017-06-28,0.2,235.9,288.75,0.044807121661721065
6,NTPC,2016-06-29,2017-06-28,0.2,148.0,157.9,0.013378378378378387
7,TCS,2016-06-29,2017-06-28,0.2,1237.5,1174.95,-0.010109090909090901
8,LT,2016-06-29,2017-06-28,0.2,990.8000000000001,1132.5666666666666,0.028616606109541087
9,MARUTI,2016-06-29,2017-06-28,0.2,4100.0,7213.95,0.15189999999999998
10,ICICIBANK,2017-06-29,2018-06-28,0.2,291.5,278.0,-0.009262435677530018
11,SBIN,2017-06-29,2018-06-28,0.2,277.15,260.4,-0.012087317337182032
12,AXISBANK,2017-06-29,2018-06-28,0.2,498.0,508.0,0.004016064257028112
13,HDFCBANK,2017-06-29,2018-06-28,0.2,833.5,1057.5,0.053749250149970014
14,RELIANCE,2017-06-29,2018-06-28,0.2,700.0,962.0,0.07485714285714287
15,HDFCBANK,2018-06-29,2019-06-28,0.2,1060.85,1232.0,0.03226657868690203
16,RELIANCE,2018-06-29,2019-06-28,0.2,949.1,1277.1,0.06911811189547991
17,ONGC,2018-06-29,2019-06-28,0.2,155.15,170.3,0.01952948759265228
18,COALINDIA,2018-06-29,2019-06-28,0.2,259.0,259.45,0.00034749034749033874
19,POWERGRID,2018-06-29,2019-06-28,0.2,185.25,207.15,0.023643724696356283
20,IBULHSGFIN,2019-07-01,2020-06-29,0.2,614.0,223.9,-0.1270684039087948
21,ONGC,2019-07-01,2020-06-29,0.2,168.2,83.95,-0.10017835909631391
22,JSWSTEEL,2019-07-01,2020-06-29,0.2,278.55,192.5,-0.061784239813318986
23,VEDL,2019-07-01,2020-06-29,0.2,177.0,110.0,-0.07570621468926554
24,AXISBANK,2019-07-01,2020-06-29,0.2,810.75,415.0,-0.09762565525747766
