,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,COALINDIA,2015-06-30,2016-06-28,0.2,409.8,310.75,-0.04834065397755003
1,HINDUNILVR,2015-06-30,2016-06-28,0.2,907.0,861.0,-0.010143329658213893
2,ITC,2015-06-30,2016-06-28,0.2,206.79999999999998,240.0,0.03210831721470021
3,BAJAJ-AUTO,2015-06-30,2016-06-28,0.2,2552.45,2662.0,0.008583909577073024
4,ONGC,2015-06-30,2016-06-28,0.2,205.46666666666667,140.0,-0.06372485399091499
5,COALINDIA,2016-06-29,2017-06-28,0.2,314.2,246.0,-0.043411839592616165
6,HINDUNILVR,2016-06-29,2017-06-28,0.2,889.9,1095.0,0.04609506686144512
7,ITC,2016-06-29,2017-06-28,0.2,246.63333333333333,311.6,0.05268279497229358
8,ONGC,2016-06-29,2017-06-28,0.2,141.83333333333334,161.05,0.02709753231492362
9,AMBUJACEM,2016-06-29,2017-06-28,0.2,252.8,240.8,-0.00949367088607595
10,SBIN,2017-06-29,2018-06-28,0.2,277.15,260.4,-0.012087317337182032
11,COALINDIA,2017-06-29,2018-06-28,0.2,246.8,266.85,0.01624797406807132
12,HINDUNILVR,2017-06-29,2018-06-28,0.2,1094.65,1610.0,0.09415795002968984
13,ITC,2017-06-29,2018-06-28,0.2,309.1,262.0,-0.030475574247816255
14,GAIL,2017-06-29,2018-06-28,0.2,134.58646616541353,163.2,0.04252067039106145
15,BHARTIARTL,2018-06-29,2019-06-28,0.2,375.3,348.4,-0.014335198507860396
16,COALINDIA,2018-06-29,2019-06-28,0.2,259.0,259.45,0.00034749034749033874
17,IOC,2018-06-29,2019-06-28,0.2,155.5,157.3,0.002315112540192941
18,ITC,2018-06-29,2019-06-28,0.2,261.8,274.1,0.009396485867074112
19,HEROMOTOCO,2018-06-29,2019-06-28,0.2,3520.5,2598.55,-0.05237608294276381
20,BHARTIARTL,2019-07-01,2020-06-29,0.2,347.0,558.9,0.12213256484149855
21,VEDL,2019-07-01,2020-06-29,0.2,177.0,110.0,-0.07570621468926554
22,HINDUNILVR,2019-07-01,2020-06-29,0.2,1798.9,2151.35,0.039185057535160356
23,ITC,2019-07-01,2020-06-29,0.2,274.4,202.5,-0.05240524781341107
24,HEROMOTOCO,2019-07-01,2020-06-29,0.2,2596.0,2530.0,-0.005084745762711865
