,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,EMAMILTD,2015-06-30,2016-06-28,0.03333333333333333,561.0,549.0,-0.0007130124777183602
1,RAJESHEXPO,2015-06-30,2016-06-28,0.03333333333333333,307.9,433.0,0.013543358233192599
2,MANGCHEFER,2015-06-30,2016-06-28,0.03333333333333333,64.0,55.3,-0.004531250000000001
3,AJANTPHARM,2015-06-30,2016-06-28,0.03333333333333333,1525.0,1478.95,-0.0010065573770491794
4,BPCL,2015-06-30,2016-06-28,0.03333333333333333,293.5,347.26666666666665,0.006106378951353396
5,KITEX,2015-06-30,2016-06-28,0.03333333333333333,975.0,495.0,-0.01641025641025641
6,MARKSANS,2015-06-30,2016-06-28,0.03333333333333333,58.85,45.0,-0.007844803171905976
7,HINDUNILVR,2015-06-30,2016-06-28,0.03333333333333333,907.0,861.0,-0.0016905549430356486
8,HINDPETRO,2015-06-30,2016-06-28,0.03333333333333333,162.22222222222223,217.33333333333334,0.01132420091324201
9,MINDTREE,2015-06-30,2016-06-28,0.03333333333333333,630.525,651.85,0.00112736740546899
10,DBCORP,2015-06-30,2016-06-28,0.03333333333333333,335.25,377.9,0.004240616455381554
11,UBL,2015-06-30,2016-06-28,0.03333333333333333,879.0,729.9,-0.005654152445961321
12,IGL,2015-06-30,2016-06-28,0.03333333333333333,85.78,122.0,0.014074764902463666
13,ITC,2015-06-30,2016-06-28,0.03333333333333333,206.79999999999998,240.0,0.005351386202450035
14,MARICO,2015-06-30,2016-06-28,0.03333333333333333,217.0,257.15,0.006167434715821808
15,BRITANNIA,2015-06-30,2016-06-28,0.03333333333333333,1352.5,1343.5,-0.00022181146025878002
16,LAOPALA,2015-06-30,2016-06-28,0.03333333333333333,346.15,550.0,0.0196302181135346
17,PAGEIND,2015-06-30,2016-06-28,0.03333333333333333,14801.0,13660.0,-0.002569646195076909
18,HAVELLS,2015-06-30,2016-06-28,0.03333333333333333,281.0,361.6,0.009561091340450774
19,NAVNETEDUL,2015-06-30,2016-06-28,0.03333333333333333,103.5,93.5,-0.00322061191626409
20,IOC,2015-06-30,2016-06-28,0.03333333333333333,96.375,106.275,0.003424124513618679
21,CEATLTD,2015-06-30,2016-06-28,0.03333333333333333,635.0,801.6,0.008745406824146982
22,JAGRAN,2015-06-30,2016-06-28,0.03333333333333333,118.95,169.0,0.014025500910746811
23,MOTHERSUMI,2015-06-30,2016-06-28,0.03333333333333333,149.36296296296297,121.28888888888888,-0.0062652912781855485
24,VTL,2015-06-30,2016-06-28,0.03333333333333333,662.0,940.0,0.013997985901309162
25,VINATIORGA,2015-06-30,2016-06-28,0.03333333333333333,514.8,541.0,0.0016964516964516996
26,DIVISLAB,2015-06-30,2016-06-28,0.03333333333333333,922.0,1099.0,0.006399132321041215
27,MARUTI,2015-06-30,2016-06-28,0.03333333333333333,3985.25,4041.1,0.00046713924262384136
28,ZENSARTECH,2015-06-30,2016-06-28,0.03333333333333333,131.32999999999998,193.44,0.015764359501510193
29,KKCL,2015-06-30,2016-06-28,0.03333333333333333,2115.0,1797.0,-0.005011820330969267
30,TVSSRICHAK,2016-06-29,2017-06-28,0.03333333333333333,2361.05,3849.25,0.021010426152206288
31,APLLTD,2016-06-29,2017-06-28,0.03333333333333333,548.0,505.0,-0.002615571776155718
32,ECLERX,2016-06-29,2017-06-28,0.03333333333333333,1456.1,1320.0,-0.003115628505368219
33,TORNTPHARM,2016-06-29,2017-06-28,0.03333333333333333,1348.0,1187.5,-0.003968842729970327
34,HEROMOTOCO,2016-06-29,2017-06-28,0.03333333333333333,3034.95,3681.0,0.007095668791907613
35,BLUEDART,2016-06-29,2017-06-28,0.03333333333333333,5780.0,4249.95,-0.008823817762399079
36,HINDUNILVR,2016-06-29,2017-06-28,0.03333333333333333,889.9,1095.0,0.007682511143574185
37,VRLLOG,2016-06-29,2017-06-28,0.03333333333333333,311.2,324.65,0.0014406598114824324
38,BRITANNIA,2016-06-29,2017-06-28,0.03333333333333333,1374.9,1822.5,0.010851698305331293
39,PETRONET,2016-06-29,2017-06-28,0.03333333333333333,142.75,215.45,0.016976065382370106
40,SUNDRMFAST,2016-06-29,2017-06-28,0.03333333333333333,180.0,421.95,0.04480555555555555
41,NOCIL,2016-06-29,2017-06-28,0.03333333333333333,52.0,112.0,0.038461538461538464
42,CENTURYPLY,2016-06-29,2017-06-28,0.03333333333333333,194.0,289.5,0.016408934707903777
43,PIDILITIND,2016-06-29,2017-06-28,0.03333333333333333,710.0,804.2,0.004422535211267608
44,VINATIORGA,2016-06-29,2017-06-28,0.03333333333333333,553.0,902.1,0.021042796865581675
45,MARICO,2016-06-29,2017-06-28,0.03333333333333333,257.35,306.7,0.0063920730522634495
46,FINPIPE,2016-06-29,2017-06-28,0.03333333333333333,415.0,603.7,0.0151566265060241
47,TRITURBINE,2016-06-29,2017-06-28,0.03333333333333333,117.85,138.5,0.005840758025738935
48,KITEX,2016-06-29,2017-06-28,0.03333333333333333,498.0,270.05,-0.015257697456492636
49,PAGEIND,2016-06-29,2017-06-28,0.03333333333333333,13796.6,16255.5,0.005940835664825632
50,MRF,2016-06-29,2017-06-28,0.03333333333333333,33298.0,68585.55,0.03532499449416382
51,AJANTPHARM,2016-06-29,2017-06-28,0.03333333333333333,1515.7,1519.0,7.257372831035065e-05
52,TCS,2016-06-29,2017-06-28,0.03333333333333333,1237.5,1174.95,-0.0016848484848484837
53,LAOPALA,2016-06-29,2017-06-28,0.03333333333333333,554.15,212.82,-0.02053174531564859
54,BAJAJ-AUTO,2016-06-29,2017-06-28,0.03333333333333333,2647.8,2789.0,0.001777576352695317
55,AIAENG,2016-06-29,2017-06-28,0.03333333333333333,980.7,1349.55,0.012536963393494438
56,DHANUKA,2016-06-29,2017-06-28,0.03333333333333333,636.5,856.0,0.01149515579994763
57,ASIANPAINT,2016-06-29,2017-06-28,0.03333333333333333,978.25,1125.0,0.005000425930658489
58,DIVISLAB,2016-06-29,2017-06-28,0.03333333333333333,1112.0,641.5,-0.014103717026378897
59,AJANTPHARM,2017-06-29,2018-06-28,0.03333333333333333,1550.5,983.8,-0.01218316672041277
60,HINDUNILVR,2017-06-29,2018-06-28,0.03333333333333333,1094.65,1610.0,0.015692991671614972
61,VAKRANGEE,2017-06-29,2018-06-28,0.03333333333333333,206.925,63.3,-0.0231364020780476
62,BLISSGVS,2017-06-29,2018-06-28,0.03333333333333333,156.5,171.6,0.003216187433439829
63,EMAMILTD,2017-06-29,2018-06-28,0.03333333333333333,530.15,508.0,-0.0013926876041371926
64,HEROMOTOCO,2017-06-29,2018-06-28,0.03333333333333333,3700.0,3538.0,-0.0014594594594594596
65,AVANTIFEED,2017-06-29,2018-06-28,0.03333333333333333,464.8,592.0,0.00912220309810671
66,ZEELEARN,2017-06-29,2018-06-28,0.03333333333333333,42.05,33.7,-0.006619104240982953
67,TCS,2017-06-29,2018-06-28,0.03333333333333333,1179.5,1865.0,0.01937261551504875
68,RCF,2017-06-29,2018-06-28,0.03333333333333333,75.8,69.8,-0.0026385224274406336
69,RALLIS,2017-06-29,2018-06-28,0.03333333333333333,240.7,191.7,-0.006785763744633707
70,PAGEIND,2017-06-29,2018-06-28,0.03333333333333333,16600.0,27823.9,0.02253795180722892
71,ECLERX,2017-06-29,2018-06-28,0.03333333333333333,1308.1,1290.05,-0.00045995464159212995
72,VRLLOG,2017-06-29,2018-06-28,0.03333333333333333,328.95,314.0,-0.0015149212139636205
73,MAGMA,2017-06-29,2018-06-28,0.03333333333333333,151.0,162.9,0.0026269315673289194
74,TITAN,2017-06-29,2018-06-28,0.03333333333333333,510.0,868.0,0.023398692810457516
75,MGL,2017-06-29,2018-06-28,0.03333333333333333,966.6,810.0,-0.005400372439478585
76,PHOENIXLTD,2017-06-29,2018-06-28,0.03333333333333333,453.9,630.25,0.012950723360505253
77,AUROPHARMA,2017-06-29,2018-06-28,0.03333333333333333,675.0,615.7,-0.0029283950617283927
78,CONCOR,2017-06-29,2018-06-28,0.03333333333333333,569.7,602.0,0.0018898835644491224
79,MARUTI,2017-06-29,2018-06-28,0.03333333333333333,7254.9,8892.0,0.007521812843733203
80,SHREECEM,2017-06-29,2018-06-28,0.03333333333333333,16672.3,15798.35,-0.001747309409419614
81,HCLTECH,2017-06-29,2018-06-28,0.03333333333333333,851.9,926.45,0.002917009038619559
82,NIITTECH,2017-06-29,2018-06-28,0.03333333333333333,574.0,1092.0,0.030081300813008128
83,MINDTREE,2017-06-29,2018-06-28,0.03333333333333333,548.7,971.0,0.02565457748617945
84,KEC,2017-06-29,2018-06-28,0.03333333333333333,246.75,344.15,0.013157716987504217
85,ITC,2017-06-29,2018-06-28,0.03333333333333333,309.1,262.0,-0.005079262374636042
86,3MINDIA,2017-06-29,2018-06-28,0.03333333333333333,13300.0,19501.0,0.015541353383458646
87,CAPLIPOINT,2017-06-29,2018-06-28,0.03333333333333333,556.25,421.0,-0.008104868913857676
88,PAGEIND,2018-06-29,2019-06-28,0.03333333333333333,27399.95,20644.0,-0.008218932272990767
89,BALRAMCHIN,2018-06-29,2019-06-28,0.03333333333333333,65.7,141.4,0.038406900050735666
90,ZEELEARN,2018-06-29,2019-06-28,0.03333333333333333,33.5,23.75,-0.009701492537313432
91,GNFC,2018-06-29,2019-06-28,0.03333333333333333,395.25,240.1,-0.013084545646215476
92,BRITANNIA,2018-06-29,2019-06-28,0.03333333333333333,3075.0,2735.0,-0.0036856368563685637
93,TCS,2018-06-29,2019-06-28,0.03333333333333333,1844.9,2260.0,0.007499954830433446
94,VRLLOG,2018-06-29,2019-06-28,0.03333333333333333,322.0,268.0,-0.0055900621118012426
95,SONATSOFTW,2018-06-29,2019-06-28,0.03333333333333333,306.05,350.0,0.004786799542558404
96,HEROMOTOCO,2018-06-29,2019-06-28,0.03333333333333333,3520.5,2598.55,-0.0087293471571273
97,HEG,2018-06-29,2019-06-28,0.03333333333333333,3240.0,1555.0,-0.017335390946502056
98,MGL,2018-06-29,2019-06-28,0.03333333333333333,813.5,860.0,0.0019053472649047326
99,JSLHISAR,2018-06-29,2019-06-28,0.03333333333333333,137.15,80.15,-0.013853445133065984
100,ECLERX,2018-06-29,2019-06-28,0.03333333333333333,1298.65,770.05,-0.013567935933469374
101,BLUEDART,2018-06-29,2019-06-28,0.03333333333333333,3588.0,2670.0,-0.008528428093645485
102,EMAMILTD,2018-06-29,2019-06-28,0.03333333333333333,504.0,302.0,-0.01335978835978836
103,GODFRYPHLP,2018-06-29,2019-06-28,0.03333333333333333,721.0,844.5,0.00570966250577901
104,ITC,2018-06-29,2019-06-28,0.03333333333333333,261.8,274.1,0.0015660809778456851
105,GRAPHITE,2018-06-29,2019-06-28,0.03333333333333333,827.0,344.25,-0.01945787988714228
106,STRTECH,2018-06-29,2019-06-28,0.03333333333333333,271.0,181.7,-0.010984009840098402
107,MARUTI,2018-06-29,2019-06-28,0.03333333333333333,8750.3,6500.0,-0.008572277521913533
108,CHENNPETRO,2018-06-29,2019-06-28,0.03333333333333333,293.9,208.2,-0.009719859362594988
109,PETRONET,2018-06-29,2019-06-28,0.03333333333333333,207.5,249.0,0.006666666666666666
110,AVANTIFEED,2018-06-29,2019-06-28,0.03333333333333333,555.0,350.5,-0.012282282282282281
111,PHOENIXLTD,2018-06-29,2019-06-28,0.03333333333333333,660.0,641.0,-0.0009595959595959596
112,CENTURYPLY,2018-06-29,2019-06-28,0.03333333333333333,255.0,165.0,-0.011764705882352941
113,HCLTECH,2018-06-29,2019-06-28,0.03333333333333333,914.1,1070.7,0.00571053495241221
114,SUPREMEIND,2018-06-29,2019-06-28,0.03333333333333333,1133.3,1130.0,-9.70616782846541e-05
115,NFL,2018-06-29,2019-06-28,0.03333333333333333,45.95,37.7,-0.005984766050054407
116,ISEC,2019-07-01,2020-06-29,0.03333333333333333,218.0,466.2,0.03795107033639144
117,COLPAL,2019-07-01,2020-06-29,0.03333333333333333,1130.0,1385.0,0.00752212389380531
118,GRAPHITE,2019-07-01,2020-06-29,0.03333333333333333,336.55,188.0,-0.014713019363145645
119,HINDUNILVR,2019-07-01,2020-06-29,0.03333333333333333,1798.9,2151.35,0.006530842922526726
120,IOLCP,2019-07-01,2020-06-29,0.03333333333333333,214.0,455.0,0.03753894080996885
121,STARCEMENT,2019-07-01,2020-06-29,0.03333333333333333,122.2,85.7,-0.009956355701036552
122,JAMNAAUTO,2019-07-01,2020-06-29,0.03333333333333333,53.0,33.95,-0.011981132075471697
123,SHARDACROP,2019-07-01,2020-06-29,0.03333333333333333,315.0,250.85,-0.00678835978835979
124,TCS,2019-07-01,2020-06-29,0.03333333333333333,2235.0,2108.0,-0.0018941088739746457
125,LUXIND,2019-07-01,2020-06-29,0.03333333333333333,1212.0,1141.0,-0.0019526952695269528
126,CRISIL,2019-07-01,2020-06-29,0.03333333333333333,1493.95,1613.8,0.002674118946417214
127,AEGISCHEM,2019-07-01,2020-06-29,0.03333333333333333,201.7,183.9,-0.0029416625351181593
128,LTTS,2019-07-01,2020-06-29,0.03333333333333333,1758.0,1297.0,-0.008740993553280244
129,KEI,2019-07-01,2020-06-29,0.03333333333333333,482.95,350.0,-0.009176243227387238
130,MARICO,2019-07-01,2020-06-29,0.03333333333333333,371.15,347.5,-0.0021240289191252395
131,PVR,2019-07-01,2020-06-29,0.03333333333333333,1682.0,1015.0,-0.013218390804597701
132,HINDZINC,2019-07-01,2020-06-29,0.03333333333333333,244.05,198.5,-0.006221402718022265
133,TRITURBINE,2019-07-01,2020-06-29,0.03333333333333333,103.2,73.6,-0.009560723514211888
134,VRLLOG,2019-07-01,2020-06-29,0.03333333333333333,279.8,165.0,-0.013676435549201811
135,EMAMILTD,2019-07-01,2020-06-29,0.03333333333333333,297.5,219.9,-0.008694677871148459
136,INOXLEISUR,2019-07-01,2020-06-29,0.03333333333333333,328.8,240.1,-0.008992295214922954
137,ENDURANCE,2019-07-01,2020-06-29,0.03333333333333333,1142.0,880.0,-0.007647402218330414
138,BRITANNIA,2019-07-01,2020-06-29,0.03333333333333333,2750.1,3452.8,0.008517266038810714
139,INFRATEL,2019-07-01,2020-06-29,0.03333333333333333,269.0,222.0,-0.005824039653035936
140,DEEPAKFERT,2019-07-01,2020-06-29,0.03333333333333333,108.75,116.5,0.002375478927203065
141,GALAXYSURF,2019-07-01,2020-06-29,0.03333333333333333,1227.0,1469.5,0.006587883727248031
142,JUSTDIAL,2019-07-01,2020-06-29,0.03333333333333333,759.25,394.0,-0.01603556140928548
143,DABUR,2019-07-01,2020-06-29,0.03333333333333333,400.8,460.0,0.004923486360612108
