,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,BAJFINANCE,2015-06-30,2016-06-28,0.05,540.6,776.495,0.02181788753237144
1,BRITANNIA,2015-06-30,2016-06-28,0.05,1352.5,1343.5,-0.0003327171903881701
2,APLLTD,2015-06-30,2016-06-28,0.05,656.9,550.0,-0.008136702694474043
3,WOCKPHARMA,2015-06-30,2016-06-28,0.05,1384.9,902.85,-0.01740378366669074
4,EICHERMOT,2015-06-30,2016-06-28,0.05,19279.8,18690.0,-0.0015295801823670353
5,EMAMILTD,2015-06-30,2016-06-28,0.05,561.0,549.0,-0.0010695187165775403
6,PAGEIND,2015-06-30,2016-06-28,0.05,14801.0,13660.0,-0.003854469292615364
7,TORNTPHARM,2015-06-30,2016-06-28,0.05,1292.0,1323.0,0.0011996904024767802
8,AUROPHARMA,2015-06-30,2016-06-28,0.05,701.25,727.5,0.0018716577540106951
9,INFRATEL,2015-06-30,2016-06-28,0.05,456.8,330.0,-0.013879159369527147
10,GPPL,2015-06-30,2016-06-28,0.05,209.2,162.85,-0.01107791586998088
11,AMARAJABAT,2015-06-30,2016-06-28,0.05,866.5,855.0,-0.0006635891517599539
12,MARICO,2015-06-30,2016-06-28,0.05,217.0,257.15,0.009251152073732715
13,ASHOKLEY,2015-06-30,2016-06-28,0.05,71.1,98.55,0.019303797468354436
14,LUPIN,2015-06-30,2016-06-28,0.05,1837.0,1475.0,-0.00985302123026674
15,GLENMARK,2015-06-30,2016-06-28,0.05,991.0,785.0,-0.010393541876892029
16,HINDPETRO,2015-06-30,2016-06-28,0.05,162.22222222222223,217.33333333333334,0.016986301369863014
17,PIDILITIND,2015-06-30,2016-06-28,0.05,548.5,707.55,0.014498632634457607
18,STAR,2015-06-30,2016-06-28,0.05,1104.9,1064.0,-0.0018508462304280974
19,NAVINFLUOR,2015-06-30,2016-06-28,0.05,193.0,401.4,0.05398963730569948
20,NAVINFLUOR,2016-06-29,2017-06-28,0.05,399.2,605.4,0.02582665330661323
21,JETAIRWAYS,2016-06-29,2017-06-28,0.05,555.0,549.3,-0.0005135135135135177
