,Ticker,Buy Date,Sell Date,Weight,Buy Price,Sell Price,Returns
0,IOLCP,2015-06-30,2016-06-28,0.03333333333333333,71.6,142.0,0.03277467411545624
1,KKCL,2015-06-30,2016-06-28,0.03333333333333333,2115.0,1797.0,-0.005011820330969267
2,GSKCONS,2015-06-30,2016-06-28,0.03333333333333333,6140.0,5860.0,-0.0015200868621064061
3,GLAXO,2015-06-30,2016-06-28,0.03333333333333333,1627.525,1749.0,0.0024879290128671837
4,SANOFI,2015-06-30,2016-06-28,0.03333333333333333,3498.9,4214.5,0.006817380700601141
5,SWANENERGY,2015-06-30,2016-06-28,0.03333333333333333,65.55,63.8,-0.000889905924230867
6,FLEXITUFF,2015-06-30,2016-06-28,0.03333333333333333,237.0,190.0,-0.006610407876230661
7,NIITTECH,2015-06-30,2016-06-28,0.03333333333333333,390.0,507.9,0.010076923076923075
8,INFRATEL,2015-06-30,2016-06-28,0.03333333333333333,456.8,330.0,-0.009252772913018096
9,ECLERX,2015-06-30,2016-06-28,0.03333333333333333,1172.9323308270675,1427.0,0.00722029914529915
10,HINDUNILVR,2015-06-30,2016-06-28,0.03333333333333333,907.0,861.0,-0.0016905549430356486
11,PGHH,2015-06-30,2016-06-28,0.03333333333333333,6544.0,6218.0,-0.001660554197229014
12,MPHASIS,2015-06-30,2016-06-28,0.03333333333333333,385.0,592.5,0.017965367965367966
13,PEL,2015-06-30,2016-06-28,0.03333333333333333,939.7,1400.0,0.0163279060693129
14,MANGCHEFER,2015-06-30,2016-06-28,0.03333333333333333,64.0,55.3,-0.004531250000000001
15,ZYDUSWELL,2015-06-30,2016-06-28,0.03333333333333333,900.25,773.2,-0.004704248819772284
16,SHRIRAMCIT,2015-06-30,2016-06-28,0.03333333333333333,1720.75,1625.0,-0.0018548113710107025
17,BHARTIARTL,2015-06-30,2016-06-28,0.03333333333333333,417.55,352.35,-0.005204965473196822
18,CLNINDIA,2015-06-30,2016-06-28,0.03333333333333333,843.3,670.05,-0.006848096762717895
19,ASTRAZEN,2015-06-30,2016-06-28,0.03333333333333333,1192.0,1077.0,-0.003215883668903803
20,OFSS,2015-06-30,2016-06-28,0.03333333333333333,3705.0,3381.0,-0.0029149797570850204
21,MANDHANA,2015-06-30,2016-06-28,0.03333333333333333,260.0,117.2,-0.01830769230769231
22,TECHM,2015-06-30,2016-06-28,0.03333333333333333,475.0,505.0,0.002105263157894737
23,SUPREMEIND,2015-06-30,2016-06-28,0.03333333333333333,663.0,895.0,0.011664152840623429
24,CARERATING,2015-06-30,2016-06-28,0.03333333333333333,1419.95,981.2,-0.010299658438677417
25,BAJAJHLDNG,2015-06-30,2016-06-28,0.03333333333333333,1438.0,1574.95,0.003174547983310154
26,TCS,2015-06-30,2016-06-28,0.03333333333333333,1292.5,1247.925,-0.0011495809155383635
27,INFY,2015-06-30,2016-06-28,0.03333333333333333,495.0,581.4,0.005818181818181816
28,HCLTECH,2015-06-30,2016-06-28,0.03333333333333333,927.55,729.0,-0.007135284710617575
29,SWANENERGY,2016-06-29,2017-06-28,0.03333333333333333,63.1,134.1,0.03750660327522451
30,AIAENG,2016-06-29,2017-06-28,0.03333333333333333,980.7,1349.55,0.012536963393494438
31,VIDEOIND,2016-06-29,2017-06-28,0.03333333333333333,106.0,19.15,-0.027311320754716976
32,CHOLAFIN,2016-06-29,2017-06-28,0.03333333333333333,193.0,217.6,0.0042487046632124345
33,TTKPRESTIG,2016-06-29,2017-06-28,0.03333333333333333,4747.7,6693.2,0.013659245529414242
34,GRINDWELL,2016-06-29,2017-06-28,0.03333333333333333,679.9,397.7,-0.013835367946266608
35,BALKRISIND,2016-06-29,2017-06-28,0.03333333333333333,330.525,820.5,0.049413811360714016
36,DBCORP,2016-06-29,2017-06-28,0.03333333333333333,375.8,376.0,1.7739932588255153e-05
37,OMAXE,2016-06-29,2017-06-28,0.03333333333333333,156.25,204.35,0.010261333333333332
38,PGHH,2016-06-29,2017-06-28,0.03333333333333333,6195.0,8000.0,0.009712133440947
39,MAHLIFE,2016-06-29,2017-06-28,0.03333333333333333,452.65,427.65,-0.0018410103464781473
40,GSKCONS,2016-06-29,2017-06-28,0.03333333333333333,5888.95,5399.9,-0.002768178820785823
41,KIRLOSENG,2016-06-29,2017-06-28,0.03333333333333333,268.9,400.0,0.0162513945704723
42,COLPAL,2016-06-29,2017-06-28,0.03333333333333333,905.0,1097.45,0.007088397790055251
43,CYIENT,2016-06-29,2017-06-28,0.03333333333333333,480.05,510.0,0.0020796444814776232
44,EIHOTEL,2016-06-29,2017-06-28,0.03333333333333333,112.7,136.5,0.007039337474120081
45,SANOFI,2016-06-29,2017-06-28,0.03333333333333333,4210.0,4198.85,-8.828186856690132e-05
46,HTMEDIA,2016-06-29,2017-06-28,0.03333333333333333,77.65,82.85,0.002232238677827855
47,TREEHOUSE,2016-06-29,2017-06-28,0.03333333333333333,43.5,14.3,-0.022375478927203065
48,EMAMILTD,2016-06-29,2017-06-28,0.03333333333333333,550.0,535.0,-0.0009090909090909091
49,CLNINDIA,2016-06-29,2017-06-28,0.03333333333333333,681.45,622.05,-0.0029055690072639266
50,BAJAJHLDNG,2016-06-29,2017-06-28,0.03333333333333333,1586.05,2111.05,0.011033700072507176
51,SCHAEFFLER,2016-06-29,2017-06-28,0.03333333333333333,4000.0,4507.9,0.0042324999999999975
52,GLAXO,2016-06-29,2017-06-28,0.03333333333333333,1755.0,1221.5,-0.0101329534662868
53,VAIBHAVGBL,2016-06-29,2017-06-28,0.03333333333333333,275.45,519.9,0.029581896290917894
54,INDHOTEL,2016-06-29,2017-06-28,0.03333333333333333,128.6,128.15,-0.00011664074650077467
55,LAOPALA,2016-06-29,2017-06-28,0.03333333333333333,554.15,212.82,-0.02053174531564859
56,SKFINDIA,2016-06-29,2017-06-28,0.03333333333333333,1335.1,1550.3,0.005372880932764089
57,KARURVYSYA,2016-06-29,2017-06-28,0.03333333333333333,100.11,140.0,0.013282056404621585
58,ASTRAL,2016-06-29,2017-06-28,0.03333333333333333,459.15,673.0,0.015525064430650843
59,ZENSARTECH,2017-06-29,2018-06-28,0.03333333333333333,167.8,248.01,0.01593365117203019
60,CYIENT,2017-06-29,2018-06-28,0.03333333333333333,507.55,752.9,0.016113355006074935
61,VIDEOIND,2017-06-29,2018-06-28,0.03333333333333333,20.1,7.65,-0.02064676616915423
62,TECHNO,2017-06-29,2018-06-28,0.03333333333333333,381.2,269.4,-0.009776145505421477
63,POLARIS,2017-06-29,2018-06-28,0.03333333333333333,243.75,466.8,0.030502564102564106
64,GLAXO,2017-06-29,2018-06-28,0.03333333333333333,1233.45,1388.0,0.00417663194022187
65,PFIZER,2017-06-29,2018-06-28,0.03333333333333333,1808.05,2620.0,0.014969165675727996
66,DBCORP,2017-06-29,2018-06-28,0.03333333333333333,374.0,252.75,-0.010806595365418895
67,PERSISTENT,2017-06-29,2018-06-28,0.03333333333333333,651.0,803.35,0.007800819252432156
68,NAUKRI,2017-06-29,2018-06-28,0.03333333333333333,992.8,1179.0,0.00625167875369326
69,ASTRAZEN,2017-06-29,2018-06-28,0.03333333333333333,913.15,1361.1,0.016351822446111445
70,INDOCO,2017-06-29,2018-06-28,0.03333333333333333,187.0,179.0,-0.00142602495543672
71,PGHH,2017-06-29,2018-06-28,0.03333333333333333,8044.5,9935.0,0.007833509437089523
72,VAKRANGEE,2017-06-29,2018-06-28,0.03333333333333333,206.925,63.3,-0.0231364020780476
73,INDIGO,2017-06-29,2018-06-28,0.03333333333333333,1274.0,1135.9,-0.003613291470434325
74,SKFINDIA,2017-06-29,2018-06-28,0.03333333333333333,1574.9,1733.0,0.00334624420598133
75,MONSANTO,2017-06-29,2018-06-28,0.03333333333333333,2683.05,2852.2,0.0021014641297528265
76,ALKEM,2017-06-29,2018-06-28,0.03333333333333333,1834.55,1935.0,0.0018251523988625739
77,TCS,2017-06-29,2018-06-28,0.03333333333333333,1179.5,1865.0,0.01937261551504875
78,RELIGARE,2017-06-29,2018-06-28,0.03333333333333333,174.2,43.75,-0.024961729812476078
79,WIPRO,2017-06-29,2018-06-28,0.03333333333333333,195.48872180451127,192.781954887218,-0.00046153846153846706
80,ZYDUSWELL,2017-06-29,2018-06-28,0.03333333333333333,838.0,1350.0,0.020365950676213204
81,TTKPRESTIG,2017-06-29,2018-06-28,0.03333333333333333,6645.85,5830.05,-0.004091776572347154
82,GILLETTE,2017-06-29,2018-06-28,0.03333333333333333,4931.15,6416.7,0.010041944238835433
83,SJVN,2017-06-29,2018-06-28,0.03333333333333333,31.75,29.75,-0.002099737532808399
84,SHILPI,2017-06-29,2018-06-28,0.03333333333333333,34.15,5.65,-0.027818448023426062
85,SWANENERGY,2017-06-29,2018-06-28,0.03333333333333333,134.4,155.05,0.005121527777777779
86,HCLTECH,2017-06-29,2018-06-28,0.03333333333333333,851.9,926.45,0.002917009038619559
87,VSTIND,2017-06-29,2018-06-28,0.03333333333333333,3274.35,2929.0,-0.003515710497248817
88,RATNAMANI,2017-06-29,2018-06-28,0.03333333333333333,812.95,922.0,0.004471369702933757
89,PGHH,2018-06-29,2019-06-28,0.03333333333333333,9795.85,10847.3,0.0035778756650350196
90,GULFOILLUB,2018-06-29,2019-06-28,0.03333333333333333,861.75,845.9,-0.0006130935112658359
91,VTL,2018-06-29,2019-06-28,0.03333333333333333,1204.15,1062.2,-0.003929466151780648
92,HATSUN,2018-06-29,2019-06-28,0.03333333333333333,581.05,706.75,0.007211083383529819
93,RAJESHEXPO,2018-06-29,2019-06-28,0.03333333333333333,603.5,718.4,0.0063463131731565856
94,TCS,2018-06-29,2019-06-28,0.03333333333333333,1844.9,2260.0,0.007499954830433446
95,GSKCONS,2018-06-29,2019-06-28,0.03333333333333333,6400.1,7598.0,0.0062389650161716196
96,DBCORP,2018-06-29,2019-06-28,0.03333333333333333,254.9,190.0,-0.008486988361448934
97,CROMPTON,2018-06-29,2019-06-28,0.03333333333333333,221.0,230.3,0.0014027149321266985
98,GICRE,2018-06-29,2019-06-28,0.03333333333333333,360.0,211.5,-0.01375
99,CRISIL,2018-06-29,2019-06-28,0.03333333333333333,1788.1,1495.0,-0.005463900229293662
100,TECHM,2018-06-29,2019-06-28,0.03333333333333333,673.9,706.9,0.0016322896572191722
101,HCLTECH,2018-06-29,2019-06-28,0.03333333333333333,914.1,1070.7,0.00571053495241221
102,LALPATHLAB,2018-06-29,2019-06-28,0.03333333333333333,937.1,1096.0,0.005652189378579304
103,WIPRO,2018-06-29,2019-06-28,0.03333333333333333,194.73684210526315,283.8,0.01524504504504505
104,SFL,2018-06-29,2019-06-28,0.03333333333333333,1497.05,1320.0,-0.003942197432728811
105,MPHASIS,2018-06-29,2019-06-28,0.03333333333333333,1077.7,995.8,-0.002533172496984321
106,JYOTHYLAB,2018-06-29,2019-06-28,0.03333333333333333,231.4,157.4,-0.010659752232785941
107,GILLETTE,2018-06-29,2019-06-28,0.03333333333333333,6344.0,7429.0,0.005700924758301807
108,COLPAL,2018-06-29,2019-06-28,0.03333333333333333,1158.0,1127.0,-0.0008923431203223948
109,MANPASAND,2018-06-29,2019-06-28,0.03333333333333333,147.7,35.45,-0.025332881967953056
110,AIAENG,2018-06-29,2019-06-28,0.03333333333333333,1491.0,1760.0,0.006013860943438408
111,JKCEMENT,2018-06-29,2019-06-28,0.03333333333333333,868.0,1018.9,0.005794930875576036
112,GLAXO,2018-06-29,2019-06-28,0.03333333333333333,1387.175,1215.0,-0.004137305434906674
113,OMAXE,2018-06-29,2019-06-28,0.03333333333333333,218.0,199.8,-0.002782874617737001
114,NH,2018-06-29,2019-06-28,0.03333333333333333,231.85,244.4,0.0018043275106031215
115,ICICIGI,2018-06-29,2019-06-28,0.03333333333333333,692.6,1124.05,0.02076475117913177
116,SWARAJENG,2018-06-29,2019-06-28,0.03333333333333333,1857.25,1398.95,-0.008225422892269034
117,SYNGENE,2018-06-29,2019-06-28,0.03333333333333333,298.0,325.5,0.003076062639821029
118,SBILIFE,2018-06-29,2019-06-28,0.03333333333333333,666.0,725.0,0.0029529529529529527
119,RAJESHEXPO,2019-07-01,2020-06-29,0.03333333333333333,723.5,477.5,-0.01133379405666897
120,OMAXE,2019-07-01,2020-06-29,0.03333333333333333,199.6,220.65,0.0035153640614562476
121,GEPIL,2019-07-01,2020-06-29,0.03333333333333333,869.0,477.0,-0.015036440352896049
122,THYROCARE,2019-07-01,2020-06-29,0.03333333333333333,472.05,506.0,0.0023973449140274683
123,MPHASIS,2019-07-01,2020-06-29,0.03333333333333333,1010.0,902.0,-0.0035643564356435645
124,ICRA,2019-07-01,2020-06-29,0.03333333333333333,3219.95,2650.0,-0.005900195137605655
125,ALKEM,2019-07-01,2020-06-29,0.03333333333333333,1684.0,2339.35,0.012972090261282657
126,INFRATEL,2019-07-01,2020-06-29,0.03333333333333333,269.0,222.0,-0.005824039653035936
127,GILLETTE,2019-07-01,2020-06-29,0.03333333333333333,7500.0,4985.35,-0.011176222222222221
128,VBL,2019-07-01,2020-06-29,0.03333333333333333,634.6666666666666,680.0,0.0023809523809523833
129,IEX,2019-07-01,2020-06-29,0.03333333333333333,143.5,189.0,0.01056910569105691
130,PGHH,2019-07-01,2020-06-29,0.03333333333333333,10715.1,10168.0,-0.0017019595399638528
131,SFL,2019-07-01,2020-06-29,0.03333333333333333,1313.65,1420.0,0.0026985879039317907
132,WIPRO,2019-07-01,2020-06-29,0.03333333333333333,281.6,222.05,-0.007049005681818182
133,APLLTD,2019-07-01,2020-06-29,0.03333333333333333,514.0,902.0,0.0251621271076524
134,TCNSBRANDS,2019-07-01,2020-06-29,0.03333333333333333,833.0,360.0,-0.018927571028411364
135,CUB,2019-07-01,2020-06-29,0.03333333333333333,218.5,124.9,-0.014279176201372996
136,SJVN,2019-07-01,2020-06-29,0.03333333333333333,25.15,22.5,-0.0035122597746852207
137,SCHAEFFLER,2019-07-01,2020-06-29,0.03333333333333333,4872.05,3600.5,-0.00869962336182921
138,ASTERDM,2019-07-01,2020-06-29,0.03333333333333333,126.8,126.0,-0.00021030494216614016
139,AARTIDRUGS,2019-07-01,2020-06-29,0.03333333333333333,527.0,1281.0,0.04769133459835547
140,TEAMLEASE,2019-07-01,2020-06-29,0.03333333333333333,2935.0,1726.0,-0.01373083475298126
141,SANOFI,2019-07-01,2020-06-29,0.03333333333333333,5650.0,7822.0,0.0128141592920354
142,GULFOILLUB,2019-07-01,2020-06-29,0.03333333333333333,842.9,624.9,-0.00862103056906711
143,REDINGTON,2019-07-01,2020-06-29,0.03333333333333333,109.9,90.0,-0.006035790112223235
144,DRREDDY,2019-07-01,2020-06-29,0.03333333333333333,2567.1,3998.0,0.018579980003376056
145,FORTIS,2019-07-01,2020-06-29,0.03333333333333333,130.15,123.0,-0.0018312203867332578
146,TCS,2019-07-01,2020-06-29,0.03333333333333333,2235.0,2108.0,-0.0018941088739746457
147,CYIENT,2019-07-01,2020-06-29,0.03333333333333333,542.1,272.1,-0.016602102933038185
148,SUPPETRO,2019-07-01,2020-06-29,0.03333333333333333,200.55,173.5,-0.004495969417435387
