,Ticker,Close,Quantity
682,INGERRAND,631.5,85.0
474,GILLETTE,5823.9,9.0
1136,PGHH,11086.95,5.0
1302,SANOFI,8155.65,6.0
2573,SCHAEFFLER,4244.25,12.0
1536,THERMAX,924.1,53.0
276,COLPAL,1568.85,30.0
1399,SOLARINDS,1072.5,43.0
915,MARICO,401.3,113.0
301,DABUR,514.55,86.0
1132,PFIZER,5225.3,8.0
1661,WABCOINDIA,5670.9,7.0
1627,VGUARD,188.35,218.0
1019,NESTLEIND,18566.35,2.0
480,GLAXO,1532.5,25.0
1657,VSTIND,3767.45,10.0
1558,TORNTPOWER,318.75,115.0
588,HINDUNILVR,2402.25,15.0
1141,PIDILITIND,1731.85,20.0
439,FORTIS,154.05,217.0
46,AKZOINDIA,2234.15,14.0
1163,POWERGRID,190.0,165.0
970,MRF,75892.35,0.0
1699,ZYDUSWELL,1947.6,15.0
620,ICRA,2795.15,10.0
11,ABBOTINDIA,15727.4,2.0
1521,TCS,2909.35,9.0
111,ASIANPAINT,2648.25,9.0
352,DRREDDY,5201.8,5.0
1583,UBL,1126.4,20.0
