Manager ID,Manager Name
2,2POINT2 CAPITAL ADVISORS LLP
3,4A SECURITIES
4,A C CHOKSI SHARE BROKERS PRIVATE LIMITED
5,A. K. WEALTH MANAGEMENT PRIVATE LIMITED
6,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED
7,Abakkus Asset Manager LLP
8,ABANS BROKING SERVICES PRIVATE LIMITED
9,ABCHLOR INVESTMENT ADVISORS PRIVATE LIMITED
10,ABN AMRO ASSET MANAGEMENT (I) LTD.
11,ABN AMRO BANK  N.V.
12,ABN AMRO BANK N.V.
13,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED
14,ACEPRO ADVISORS PRIVATE LIMITED
15,ACHINTYA SECURITIES PRIVATE LIMITED
16,Action Financial Services (India) Ltd.
17,Acumen Capital Market (India) Limited
18,Ada Sustainable Investment Services Private Limited
19,ADITYA BIRLA MONEY LIMITED
20,ADROIT FINANCIAL SERVICES PRIVATE LIMITED
21,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED
22,Agreya Capital Advisors LLP
23,AIG Global Asset Management Company (India) Pvt. Ltd.
24,AJMERA ASSOCIATES LIMITED
25,ALANKIT ASSIGNMENTS LTD.
26,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD
27,ALDER CAPITAL ADVISORS LLP
28,ALFACCURATE ADVISORS PVT. LTD.
29,ALLEGRO CAPITAL ADVISORS PVT LTD
30,ALLIANCE FUNDSS MGT.LTD
31,ALMONDZ GLOBAL SECURITIES LIMITED
32,ALPHA ALTERNATIVES FUND ADVISORS LLP
33,ALPHA CAPITAL ADVISORS PVT. LTD.
34,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED
35,AMBIT CAPITAL PRIVATE LTD
36,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED
37,AMIDEEP WEALTH MANAGEMENT PVT LTD
38,AMIT JASANI FINANCIAL SERVICES PVT LTD
39,AMIT JASANI FINANCIAL SERVICES PVT LTD.
40,AMJ STOCK BROKERS PRIVATE LIMITED
41,Amrapali Aadya Trading and Investment Pvt. Ltd.
42,AMTIGER CONSULTANTS PRIVATE LIMITED
43,ANAGRAM STOCKBROKING LIMITED
44,ANAND RATHI ADVISORS LIMITED
45,ANGEL BROKING LTD.
46,ANIVED PORTFOLIO MANAGERS PVT. LTD.
47,ANMOL FINSEC LIMITED
48,ANTIQUE STOCK BROKING LIMITED
49,ANTIQUE STOCK BROKING LTD
50,ANUGRAH STOCK & BROKING PVT. LTD
51,ANVIL WEALTH MANAGEMENT PVT LTD
52,APEEJAY SECURITIES PRIVATE LIMITED
53,Apollo Finvest (India) Limited
54,APOLLO SINDHOORI CAPITAL INVESTMENT LIMITED
55,Aquamarine Investment Managers LLP
56,Arcadia Share & Stock Brokers Pvt Ltd
57,ARCH FINANCE LTD
58,ARIHANT ASSET MANAGEMENT LIMITED
59,ARIHANT CAPITAL MARKETS LTD.
60,ARISTON CAPITAL SERVICES PRIVATE LIMITED
61,Arthveda Fund Management Private Limited
62,ASHIKA STOCK BROKING LIMITED
63,ASHIKA STOCK BROKING LTD
64,ASHLAR SECURITIES PVT. LTD.
65,Ashok Leyland Investment Services Ltd.
66,ASHWANI GUJRAL INVESTMENT & PORTFOLIO MANAGEMENT PVT. LTD.
67,ASIAN MARKETS SECURITIES PRIVATE LIMITED
68,Asit C Mehta Investment Interrmediates Ltd.
69,Asit C. Mehta Investment Interrmediates Limited
70,ASK INVESTMENT MANAGERS LIMITED
71,ASK Property Investment Advisors Private Limited
72,ASK WEALTH ADVISORS PRIVATE LIMITED
73,ASTER BUSINESS RESEARCH PVT. LTD.
74,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED
75,Aten Portfolio Managers Private Limited
76,ATLAS INTEGRATED FINANCE LTD
77,Atman Capital Management Private Limited
78,ATS WEALTH MANAGERS PRIVATE LIMITED
79,ATS WEALTH MANAGERS PRIVATE LIMITED
80,AUM CAPITAL MARKET PRIVATE LIMITED
81,AUROCH INVESTMENT MANAGERS PRIVATE LIMITED
82,AVANT GARDE WEALTH MANAGEMENT PVT. LTD.
83,Avendus Capital Public Markets Alternate Strategies LLP
84,AVENDUS PE INVESTMENT ADVISORS PRIVATE LIMITED
85,Avendus Wealth Management Private Limited
86,AVENDUS WEALTH MANAGEMENT PRIVATE LTD
87,Avestha Fund Management LLP
88,Avezo Advisors Private Limited
89,AVEZO ADVISORS PRIVATE LIMITED
90,Awriga Capital Advisors LLP
91,AXIS ASSET MANAGEMENT COMPANY LIMITED
92,AXIS SCEURITIES LIMITED
93,BADJATE STOCK & SHARES PVT. LTD
94,Baljit Securities Private Limited
95,BANG EQUITY BROKING PVT. LTD.
96,BANHEM SECURITIES PVT. LTD.
97,Bank of Madura Ltd.
98,BANYAN CAPITAL ADVISORS PRIVATE LIMITED
99,BANYAN TREE ADVISORS PRIVATE LIMITED
100,Barclays Bank Plc
101,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED
102,BASAN EQUITY BROKING LIMITED
103,BASANT MAHESHWARI WEALTH ADVISERS LLP
104,BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED
105,Bay Capital Investment Managers Private Limited
106,BCB Capital Advisors Private Limited
107,BELLWETHER CAPITAL PRIVATE LIMITED
108,BENCHMARK ASSET MANAGEMENT COMPANY PVT LTD
109,Betala Global Securities Ltd
110,BHANA EQUITY ADVISORS LLP
111,Bharat Forge Ltd.
112,Bharti AXA Investment Managers Private Ltd.
113,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED
114,Blue Blends Finance Ltd.
115,BMA WEALTH CREATORS LTD
116,BNP PARIBAS (BANQUE NATIONALE DE PARIS-INDIA)
117,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED
118,BNP PARIBAS INVESTMENT SERVICES INDIA PVT LTD
119,BOB Capital Markets Ltd.
120,BOI AXA Investment Managers Private Limited
121,BONANZA PORTFOLIO LIMITED
122,Brahma Capital Advisory Services Pvt Ltd
